profile,scenario_id,objective_ry_offset,a_true,rep,step_index,algorithm,budget,query_budget,query_budget_actual,estimate,abs_error,normalized_abs_error,nrmse,amplification_factor,k_max_budget,time_to_budget_seconds,runtime_seconds
realistic,1,0.3,0.3602728053304129,1,0,CABIQAE_latentt,128.0,128.0,128.0,0.3252014027017046,0.03507140262870828,0.0973467941787714,0.0973467941787714,1,1,0.020139254166665385,0.020139254166665385
realistic,1,0.3,0.3602728053304129,1,1,CABIQAE_latentt,256.0,256.0,256.0,0.32143143992388606,0.03884136540652683,0.10781098332111048,0.10781098332111048,1,1,0.04027850833333077,0.04027850833333077
realistic,1,0.3,0.3602728053304129,1,2,CABIQAE_latentt,384.0,384.0,384.0,0.33689930149834535,0.023373503832067544,0.06487723604514437,0.06487723604514437,1,1,0.060417762499996155,0.060417762499996155
realistic,1,0.3,0.3602728053304129,1,3,CABIQAE_latentt,1536.0,1536.0,1536.0,0.36434193397330933,0.004069128642896436,0.011294576173087953,0.011294576173087953,9,9,0.24167104999998462,0.24167104999998462
realistic,1,0.3,0.3602728053304129,1,4,CABIQAE_latentt,2688.0,2688.0,2688.0,0.35890592469098787,0.0013668806394250277,0.0037940155881913875,0.0037940155881913875,9,9,0.4229243374999731,0.4229243374999731
realistic,1,0.3,0.3602728053304129,1,5,CABIQAE_latentt,3840.0,3840.0,3840.0,0.36122845034219186,0.0009556450117789717,0.002652559387330198,0.002652559387330198,9,9,0.6041776249999615,0.6041776249999615
realistic,1,0.3,0.3602728053304129,1,6,CABIQAE_latentt,4992.0,4992.0,4992.0,0.36169682390489133,0.0014240185744784362,0.003952611891348397,0.003952611891348397,9,9,0.78543091249995,0.78543091249995
realistic,1,0.3,0.3602728053304129,1,7,CABIQAE_latentt,6144.0,6144.0,6144.0,0.36042413736733236,0.0001513320369194715,0.00042004845961293713,0.00042004845961293713,9,9,0.9666841999999385,0.9666841999999385
realistic,1,0.3,0.3602728053304129,1,8,CABIQAE_latentt,7296.0,7296.0,7296.0,0.3603374241774202,6.46188470073139e-05,0.00017936087889856343,0.00017936087889856343,9,9,1.147937487499927,1.147937487499927
realistic,1,0.3,0.3602728053304129,1,9,CABIQAE_latentt,8448.0,8448.0,8448.0,0.35997138179027593,0.00030142354013695805,0.0008366536015964816,0.0008366536015964816,9,9,1.3291907749999154,1.3291907749999154
realistic,1,0.3,0.3602728053304129,1,10,CABIQAE_latentt,9600.0,9600.0,9600.0,0.3609768658870529,0.0007040605566400182,0.0019542428576986575,0.0019542428576986575,9,9,1.5104440624999038,1.5104440624999038
realistic,1,0.3,0.3602728053304129,1,11,CABIQAE_latentt,10752.0,10752.0,10752.0,0.3611749938732115,0.0009021885427986098,0.0025041816352782886,0.0025041816352782886,9,9,1.6916973499998924,1.6916973499998924
realistic,1,0.3,0.3602728053304129,1,12,CABIQAE_latentt,11904.0,11904.0,11904.0,0.36078401001984856,0.0005112046894356626,0.0014189377656934922,0.0014189377656934922,9,9,1.8729506374998808,1.8729506374998808
realistic,1,0.3,0.3602728053304129,1,13,CABIQAE_latentt,13056.0,13056.0,13056.0,0.36055740663385877,0.000284601303445875,0.0007899605499917259,0.0007899605499917259,9,9,2.0542039249998694,2.0542039249998694
