shots,counts_json,good_counts,p_observed_good,prepared_bitstring,prepared_label
512,"{""000"": 509, ""001"": 2, ""100"": 1}",0,0.0,000,bad
512,"{""101"": 1, ""111"": 511}",511,0.998046875,111,good
