algorithm,algorithm_key,mean_final_normalized_abs_error,mean_final_queries,median_final_normalized_abs_error,median_final_queries,n
CABIQAE,cabiqae_latentt,0.0843991566188149,761.2631578947369,0.07549662983592423,512.0,19
BIQAE,biqae,0.30072556677015577,192.0,0.2920821057992645,192.0,4
