abs_error_mean,abs_error_median,algorithm,algorithm_key,amplification_factor_median,budget,coverage,coverage_ci_high,coverage_ci_low,coverage_n,coverage_se,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,query_budget_actual_median,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,target_name,total_repetitions
0.04494126843968097,0.03995983372648826,BIQAE,biqae,1.0,128,0.0,0.0,0.0,132,0.0,0.21033230112510187,0.0,0.04913639503839096,0.0408939177475245,132,44,0.3235775242217176,0.25988650997237406,0.2911888054090356,0.24161854009447023,0.2820760182394538,0.22787443045041025,0.01632287203330943,0.18753552193353917,0.19567742325650994,0.23528711606324615,0.19503332636192908,0.008775710236154003,0.2416185400944701,0.2902245988444296,0.22787443045041014,0.01632287203330943,128.0,128.0,14.328481823842125,0.7689658838221045,6.600512662160445,0.6603264536405242,0.6732545478025114,0.657181174935809,3.340276981566844,,cva,
0.028660472847382632,0.024115710570007443,BIQAE,biqae,1.0,256,0.0,0.0,0.0,173,0.0,0.17269308660624846,0.0,0.031797502196709945,0.0254707242793669,173,49,0.21441574740218652,0.17553654534863453,0.19440769114032916,0.16677789940716875,0.17385229775483707,0.1572401348754291,0.010141976374301418,0.1333968720263022,0.11198431398130748,0.11325469305824215,0.1064556032350692,0.008458500553340938,0.16677789940716875,0.1738522977548371,0.15724013487542907,0.010141976374301418,256.0,256.0,1.5060260786557513,1.4122770801509643,1.4564371460141077,1.34017675958569,1.3668217747723936,1.3131179415394003,0.024225518493250987,,cva,
0.0471621392377401,0.04823714906466914,BIQAE,biqae,3.0,512,0.0,0.0,0.0,851,0.0,0.07920701583063086,1.0,0.04818027684919266,0.04612769162639568,851,97,0.37088872600390965,0.36123332373724976,0.36603113632709683,0.3658204755265745,0.37459693191861654,0.35929779186537547,0.0024344086382610927,0.07101633580206905,0.19730255731769408,0.20400053143592928,0.1844692905240583,0.002844593080362919,0.3658204755265744,0.37459693191861654,0.3592977918653754,0.002434408638261093,528.8460634547591,512.0,2.9146934000096305,2.863528775913709,2.888024594382849,2.7716353743647533,2.809927957140774,2.7402612869577156,0.012938269245351807,,cva,
0.05196026413785153,0.05304704731297322,BIQAE,biqae,5.0,768,0.0,0.0,0.0,631,0.0,0.21429721857257503,2.0,0.053270541980430346,0.050761345616272296,631,71,0.34902088137251935,0.324827345438973,0.3374483443645094,0.32962200792523283,0.33355210399313395,0.32155363354013133,0.006071220270089817,0.1525073130160522,0.2474745445483133,0.24955921351016846,0.24496590945222074,0.002384746831247342,0.32962200792523283,0.3335521039931338,0.3215536335401314,0.00607122027008982,812.8304278922345,768.0,43.79330377125205,14.498845772319402,29.11954047413146,4.412816614415063,4.4395504217899235,4.3812289377682605,7.6578073874676695,,cva,
0.03835614071187887,0.03434413606353419,BIQAE,biqae,11.0,1920,0.0,0.0,0.0,129,0.0,0.062096357611626886,5.0,0.04062246848331076,0.036181876446528864,129,14,0.38869686954247673,0.3629242432408988,0.3760923139674308,0.3724435728499169,0.3817929838488451,0.36842718011278824,0.006581387393299117,0.07475019158950214,0.1228873528228977,0.1248713002143719,0.11860429181791568,0.0053964829702545175,0.37244357284991686,0.3817929838488451,0.3684271801127882,0.006581387393299117,1848.5581395348838,1920.0,10.272095675608723,9.951840943813417,10.117764984332197,10.263669211529376,10.393632653867826,9.971906785695214,0.0808958599039305,,cva,
0.05489206819677576,0.05650486664515948,BIQAE,biqae,15.0,2432,0.0,0.0,0.0,808,0.0,0.07501771553026845,7.0,0.0560629848593343,0.05373134249363017,808,83,0.42636316849811684,0.4141309979827895,0.42014515688116183,0.4329948412083234,0.4427537381324037,0.4227737989519203,0.003107118835311211,0.08832091182189257,0.2427416756955123,0.24699258406300306,0.20793055993631865,0.003067929556246503,0.4329948412083233,0.4427537381324037,0.4227737989519203,0.0031071188353112116,2415.841584158416,2432.0,13.31417672034563,13.055660476271518,13.182606393349168,13.01624111304915,13.152465434455923,12.788085404237071,0.06495868492532961,,cva,
0.052153989479577466,0.05323772341202612,BIQAE,biqae,25.0,4096,0.0,0.0,0.0,723,0.0,0.21225891750091724,12.0,0.053737581258078704,0.050548847233641614,723,73,0.35646779764312747,0.3301117777977444,0.3434674475490442,0.3257525807423812,0.33736186359374304,0.31959665808656235,0.00683846073807566,0.18387704105587585,0.2727816753943074,0.27789120895820085,0.2692385823985365,0.0031949507620734514,0.3257525807423812,0.337361863593743,0.31959665808656235,0.0068384607380756616,4030.8492392807743,4096.0,210.91948452220447,81.40880546535493,140.33811210715396,21.277838130633633,21.456184299010204,21.200568851136495,36.80419943833879,,cva,
0.037266804572189546,0.03673796109556904,CABIQAE,cabiqae_latentt,1.0,256,0.17313432835820897,0.21492537313432836,0.13432835820895522,335,0.020703121976825327,0.19433009450443536,0.0,0.03930152145577591,0.035148624084587674,335,88,0.2574087557471997,0.22932087521744332,0.24288587764308958,0.24462508541365552,0.2538809096242416,0.2065617257539554,0.007469565705238644,0.13671550007710861,0.16215936135941533,0.1658193676727434,0.15092332471809455,0.005230366700564094,0.2446250854136555,0.25388090962424165,0.20656172575395546,0.007469565705238645,269.3731343283582,256.0,0.6398822849208716,0.6054254997049738,0.6223108882686238,0.5467052580923986,0.5617131945957128,0.5304294799999675,0.008882047092847638,,cva,
0.014513682574451542,0.013783518966187125,CABIQAE,cabiqae_latentt,3.0,512,0.15403422982885084,0.19070904645476772,0.1198044009779951,409,0.01787125018051117,0.13101505393523644,1.0,0.015383444610142507,0.013657001846697454,409,95,0.13111975550009042,0.11464567757637449,0.12294578336616077,0.1050412572033455,0.11472724391404801,0.09739364080837061,0.00432291165956682,0.08742547782834974,0.05843411591203351,0.0615857610350079,0.04999902240241377,0.0018272120487184656,0.10504125720334549,0.1147272439140479,0.09739364080837055,0.00432291165956682,531.716381418093,512.0,1.2508088832523496,1.196673964704661,1.2239878643845505,1.1598255499702645,1.1800204190270354,1.1387068537383604,0.013921753989924375,,cva,
0.010625407465921551,0.008159459784091383,CABIQAE,cabiqae_latentt,5.0,896,0.1864406779661017,0.22518159806295399,0.15012106537530268,413,0.019187409375874164,0.14670863100698425,2.0,0.011529809594420834,0.009826836212027908,413,141,0.08464201469055899,0.07170108945648139,0.07806878971304723,0.06072247494698542,0.07079111764047955,0.05201670635130327,0.00334978149097994,0.0680756041721979,0.03383967491670459,0.03752912158518906,0.03156644254773289,0.0020069789268762897,0.06072247494698539,0.07079111764047953,0.05201670635130326,0.0033497814909799408,883.6029055690072,896.0,2.11235646837271,2.0208069600809364,2.06563764379374,1.8941981614376586,1.9617527958241285,1.8537243076761325,0.02312293747498707,,cva,
