run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,instance_name,target_name,repetition,algorithm,algorithm_key,step_index,budget,query_budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,grover_power,k_max_budget,amplification_factor,t_eff,calibration_status,runtime_wall_seconds,time_to_budget_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,n_shots,max_grover_power,transpile_backend_name,transpilation_strategy,aer_method,construct_circuit_mode,normalized_sq_error
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,0,128,128.0,128.0,0.18144867694360456,0.1328730942948926,0.04857558264871195,0.36557877203420486,0.5864946085782612,0.8009045873869836,0.21440997880872237,0.36557877203420486,0.5864946085782612,0.8009045873869836,0.21440997880872237,0.36557877203420486,0,0,1,11.706917752656707,ok,0.3003778249985771,0.3003778249985771,0.8812533000018448,0.8812533000018448,1,3,3,128,4,local_aer,aer_preset,density_matrix,full,0.13364783856203713
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,1,256,256.0,256.0,0.14611985348817721,0.1328730942948926,0.013246759193284607,0.09969481980968503,0.5864946085782612,0.6449650828998227,0.058470474321561494,0.09969481980968502,0.5864946085782612,0.6449650828998227,0.058470474321561494,0.09969481980968502,0,0,1,11.706917752656707,ok,0.6007556499971543,0.6007556499971543,0.8812533000018448,0.8812533000018448,1,3,3,128,4,local_aer,aer_preset,density_matrix,full,0.009939057096885567
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,2,640,640.0,640.0,0.1322249935150297,0.1328730942948926,0.000648100779862909,0.004877592286851867,0.5864946085782612,0.5836339269991796,0.002860681579081592,0.00487759228685197,0.5864946085782612,0.5836339269991796,0.002860681579081592,0.00487759228685197,1,1,3,11.706917752656707,ok,1.5018891249928856,1.5018891249928856,0.8812533000018448,0.8812533000018448,1,3,3,128,4,local_aer,aer_preset,density_matrix,full,2.3790906516756826e-05
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,0,CABIQAE,cabiqae_latentt,3,1536,1536.0,1536.0,0.11026336497134637,0.1328730942948926,0.02260972932354624,0.1701603281200573,0.5864946085782612,0.48669649354193967,0.09979811503632152,0.17016032812005735,0.5864946085782612,0.48669649354193967,0.09979811503632152,0.17016032812005735,3,3,7,11.706917752656707,ok,3.6045338999829255,3.6045338999829255,0.8812533000018448,0.8812533000018448,1,3,3,128,4,local_aer,aer_preset,density_matrix,full,0.028954537265925562
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,1,CABIQAE,cabiqae_latentt,0,128,128.0,128.0,0.14869092357818176,0.1328730942948926,0.015817829283289148,0.11904463704430458,0.5864946085782612,0.6563136463849017,0.06981903780664056,0.11904463704430454,0.5864946085782612,0.6563136463849017,0.06981903780664056,0.11904463704430454,0,0,1,11.706917752656707,ok,0.33399205454836856,0.33399205454836856,7.299997378140688e-06,7.299997378140688e-06,3,0,4,128,4,local_aer,aer_preset,density_matrix,full,0.014171625609010216
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,1,CABIQAE,cabiqae_latentt,1,512,512.0,512.0,0.1292272440829798,0.1328730942948926,0.003645850211912799,0.027438588912676046,0.5864946085782612,0.5704020241139814,0.016092584464279747,0.027438588912676032,0.5864946085782612,0.5704020241139814,0.016092584464279747,0.027438588912676032,1,1,3,11.706917752656707,ok,1.3359682181934742,1.3359682181934742,7.299997378140688e-06,7.299997378140688e-06,3,0,4,128,4,local_aer,aer_preset,density_matrix,full,0.0007528761615188288
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,1,CABIQAE,cabiqae_latentt,2,1408,1408.0,1408.0,0.10762527825863717,0.1328730942948926,0.025247816036255435,0.1900145109906266,0.5864946085782612,0.4750521223306239,0.1114424862476373,0.1900145109906267,0.5864946085782612,0.4750521223306239,0.1114424862476373,0.1900145109906267,3,3,7,11.706917752656707,ok,3.673912600032054,3.673912600032054,7.299997378140688e-06,7.299997378140688e-06,3,0,4,128,4,local_aer,aer_preset,density_matrix,full,0.03610551438700696
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,1,BIQAE,biqae,0,128,128.0,128.0,0.17682636006810173,0.1328730942948926,0.04395326577320913,0.33079131637938086,0.5864946085782612,0.7805019321992739,0.1940073236210127,0.3307913163793808,0.5864946085782612,0.7805019321992739,0.1940073236210127,0.3307913163793808,0,0,1,11.706917752656707,ok,0.23624811111949384,0.23624811111949384,6.8999361246824265e-06,6.8999361246824265e-06,3,0,4,128,4,local_aer,aer_preset,density_matrix,full,0.10942289499200364
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,1,BIQAE,biqae,1,256,256.0,256.0,0.13219963151584815,0.1328730942948926,0.0006734627790444536,0.005068466137695269,0.5864946085782612,0.5835219805147414,0.0029726280635198332,0.005068466137695397,0.5864946085782612,0.5835219805147414,0.0029726280635198332,0.005068466137695397,0,0,1,11.706917752656707,ok,0.4724962222389877,0.4724962222389877,6.8999361246824265e-06,6.8999361246824265e-06,3,0,4,128,4,local_aer,aer_preset,density_matrix,full,2.5689348988963597e-05
simulated_noise,simulated_noise,realistic,1.0,0.125,6q_instance,cva,1,BIQAE,biqae,2,1152,1152.0,1152.0,0.12163273101218046,0.1328730942948926,0.011240363282712149,0.08459472809270016,0.5864946085782612,0.5368802566377485,0.04961435194051267,0.08459472809270024,0.5864946085782612,0.5368802566377485,0.04961435194051267,0.08459472809270024,3,3,7,11.706917752656707,ok,2.1262330000754446,2.1262330000754446,6.8999361246824265e-06,6.8999361246824265e-06,3,0,4,128,4,local_aer,aer_preset,density_matrix,full,0.007156268021077874
