abs_error_mean,abs_error_median,algorithm,algorithm_key,amplification_factor_median,budget,cva_abs_error_median,cva_relative_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,query_budget_actual_median,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,target_name,total_repetitions
0.03552487295299284,0.03900190570510739,Classical MC,classical_mc,1.0,64,0.17215228968444707,0.2935274888575131,0.13125,0.0,0.038179567699423926,0.03291622230850412,300,300,0.2885293461212152,0.24780847440236592,0.2673594164530445,0.29352748885751323,0.29352748885751323,0.17684614345430977,0.010640796571704967,0.18430400295197732,0.17215228968444707,0.17215228968444707,0.10371930968381049,0.006240769820283008,0.2935274888575131,0.2935274888575131,0.17684614345430985,0.010640796571704967,64.0,64.0,3.2296750772123536e-06,2.994667146898185e-06,3.0903324174384277e-06,2.900022082030773e-06,2.9999646358191967e-06,2.900022082030773e-06,6.095318489520543e-08,1.0,cva,300
0.02469840697308067,0.023376905705107393,Classical MC,classical_mc,1.0,128,0.10318438984238276,0.1759340807795575,0.13083333333333333,0.0,0.026857249652684465,0.02271918981116826,300,300,0.20273278481701404,0.17079148057091975,0.1858796704038978,0.17593408077955747,0.17684614345430977,0.1180494394153319,0.008034284996529169,0.13915789816476862,0.10318438984238276,0.10371930968381049,0.06923535976277828,0.00471206483424557,0.1759340807795575,0.17684614345430985,0.11804943941533197,0.008034284996529167,128.0,128.0,1.2843058638585111e-05,1.175297247148895e-05,1.222166446192811e-05,1.1499971151351929e-05,1.1500029359012842e-05,1.1400028597563505e-05,2.818829809627501e-07,1.0,cva,300
0.016973821110686398,0.015564405705107393,Classical MC,classical_mc,1.0,256,0.06870043992135055,0.11713737674057961,0.13337239583333332,0.0,0.018560961360781957,0.01545470600372207,300,300,0.13821962344099784,0.1167645674726398,0.12774460624071463,0.1171373767405796,0.1180494394153319,0.08865108739584296,0.005707758783072181,0.09886128209628525,0.06870043992135055,0.06923535976277828,0.05199338480226212,0.00334756975333705,0.11713737674057961,0.11804943941533197,0.08865108739584293,0.00570775878307218,256.0,256.0,2.299100702415065e-05,1.9102809053341237e-05,2.0631332493697603e-05,1.8099963199347258e-05,1.8199963960796595e-05,1.8000020645558834e-05,9.964152673749568e-07,1.0,cva,300
0.011409885657693556,0.009705030705107393,Classical MC,classical_mc,1.0,512,0.042837477480576314,0.07303984871134604,0.133203125,0.0,0.012385414952556378,0.010429206215675148,300,300,0.09364020277825062,0.07860949666820062,0.08587054977715025,0.0730398487113462,0.0739519113860985,0.059252735376354025,0.0037526635558200114,0.06499803942392346,0.042837477480576314,0.04337239732200415,0.03475140984174607,0.0022009169432965635,0.07303984871134604,0.07395191138609859,0.059252735376354074,0.0037526635558200105,512.0,512.0,3.0089496387518007e-05,2.6038300740765408e-05,2.766366524156183e-05,2.440001117065549e-05,2.4500011932104826e-05,2.4399952962994576e-05,1.0575752134281214e-06,1.0,cva,300
0.008027724199360223,0.0059199692948926075,Classical MC,classical_mc,1.0,1024,0.026130422361487993,0.044553559366609555,0.13239908854166665,0.0,0.00875447505440319,0.007315168394044133,300,300,0.06585946628625916,0.05492186337747071,0.060416476653609434,0.044553559366609555,0.05190314737148179,0.03720397136173732,0.0028359359909331887,0.04911985223309474,0.026130422361487993,0.030440916101617033,0.021819928621358953,0.0016632611689553635,0.044553559366609555,0.055121910036541766,0.037203971361737295,0.002835935990933188,1024.0,1024.0,3.7146373428792384e-05,3.283389821202339e-05,3.469666563129673e-05,3.0800001695752144e-05,3.090000245720148e-05,3.070000093430281e-05,1.1045615792738594e-06,1.0,cva,300
0.0061673491242544955,0.0053104994551073925,Classical MC,classical_mc,1.0,2048,0.023440255649995745,0.03996670268942106,0.13266438802083333,0.0,0.006714704339140776,0.005680662160673857,300,300,0.05018263237300634,0.04256274756288414,0.04641533454897164,0.03996670268942114,0.04087876536417344,0.03352917735930121,0.0019707266783319257,0.034133987347023435,0.023440255649995745,0.023975175491423473,0.019664681751294433,0.0011558205718230194,0.03996670268942106,0.040878765364173425,0.033529177359301165,0.001970726678331925,2048.0,2048.0,4.402648249136594e-05,3.961625769443344e-05,4.1539332984636226e-05,3.7100049667060375e-05,3.7299992982298136e-05,3.709999145939946e-05,1.1381720816413706e-06,1.0,cva,300
0.004034022805234766,0.0033573744551073925,Classical MC,classical_mc,1.0,4096,0.014819268169737665,0.025267526679676543,0.13277018229166668,0.0,0.004396600354777638,0.003677534704515526,300,300,0.03296290441379392,0.027649135575579804,0.030359967355632095,0.025267526679676668,0.028942320682112783,0.022504795351992856,0.001357709380901615,0.02351621629634483,0.014819268169737665,0.016974515039802185,0.013192254643083136,0.0007962892319149258,0.025267526679676543,0.028942320682112672,0.02250479535199296,0.0013577093809016146,4096.0,4096.0,5.1508382268366405e-05,4.628395026278061e-05,4.842700009855131e-05,4.339998122304678e-05,4.349998198449612e-05,4.3199979700148106e-05,1.338681664521965e-06,1.0,cva,300
0.002956548846901432,0.00238037109375,Classical MC,classical_mc,1.0,8192,0.010506828491564535,0.017914620761876134,0.13280110677083334,0.0,0.0032214185737127403,0.002722943178844239,300,300,0.024011734604978914,0.0204439710041581,0.022250921923589736,0.01791462076187607,0.02067403417663152,0.01607722376065801,0.0009363523410857944,0.01621809828546659,0.010506828491564535,0.012125209582157015,0.009427259118488074,0.0005491655997764511,0.017914620761876134,0.02067403417663138,0.016080541673586406,0.0009363523410857938,8192.0,8192.0,5.8556888926735457e-05,5.3051564769702966e-05,5.536799862359961e-05,4.954999894835055e-05,4.9699971714289856e-05,4.9399968702346087e-05,1.4010150740153233e-06,1.0,cva,300
0.0020896520557820305,0.0017695786698926075,Classical MC,classical_mc,1.0,16384,0.007810823965939684,0.013317810345902636,0.13300557454427084,0.0,0.002291935544337001,0.0019081826410413804,300,300,0.017133978707297555,0.014351589945337863,0.01572667564393699,0.013317810345902563,0.014695858096816106,0.011024382007308351,0.000720447485219382,0.012478516485851975,0.007810823965939684,0.008619041542213823,0.0063310376808145,0.0004225385658449339,0.013317810345902636,0.014469501384592215,0.011021064094379961,0.0007204474852193817,16384.0,16384.0,6.582527371938341e-05,6.023638042097446e-05,6.26446654011185e-05,5.5899989092722535e-05,5.6100019719451666e-05,5.570001667365432e-05,1.4499827535565905e-06,1.0,cva,300
0.0015830720152098944,0.0013279555097948925,Classical MC,classical_mc,1.0,32768,0.005861523366032073,0.009994164107051494,0.13290568033854167,0.0,0.0017212193521368732,0.0014491851095224711,300,300,0.01290234945222061,0.010919793323998252,0.011914165344087608,0.009994164107051555,0.01171008796983676,0.008616116356138011,0.000522369538815378,0.009047705815545575,0.005861523366032073,0.006802497933641127,0.005120657254447436,0.00030636691820073184,0.009994164107051494,0.011710087969836781,0.008953992468009684,0.0005223695388153779,32768.0,32768.0,7.287144059470544e-05,6.718423459581875e-05,6.978799938224256e-05,6.234997999854386e-05,6.275001214817166e-05,6.200000643730164e-05,1.4879747238351985e-06,1.0,cva,300
