run_kind,simulation_regime,noise_profile,noise_scale,noise_floor,contrast_baseline,contrast_baseline_mode,instance_name,case_id,case_repetition,suite_run_index,calibration_case_id,call_strike,put_strike,benchmark_path,exposure_training_path,target_name,repetition,algorithm,algorithm_key,step_index,budget,query_budget,query_budget_actual,estimate,a_true,abs_error,normalized_abs_error,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,coverage,grover_power,grover_power_exceeds_calibration,k_max_budget,amplification_factor,t_eff,runtime_wall_seconds,time_to_budget_seconds,n_shots,max_grover_power,a_sampling,classical_samples,contrast_prefactor,noise_amplification_factor,noise_bias,noise_contrast,normalized_sq_error,sample_model,successes
classical_monte_carlo,classical_monte_carlo,none,,,,ideal,6q_instance,base,0,0,base,4500.0,12500.0,data\multi_asset\6q_instance\benchmark\three_asset_instance.npz,data\multi_asset\6q_instance\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,0,Classical MC,classical_mc,10,65536,65536.0,65536.0,0.131103515625,0.1328730942948926,0.0017695786698926075,0.013317810345902563,0.5864946085782612,0.5786837846123215,0.007810823965939684,0.013317810345902636,0.5864946085782612,0.5786837846123215,0.007810823965939684,0.013317810345902636,,0,False,0,1,,0.00012059998698532581,0.00012059998698532581,10,0,0.1328730942948926,65536,1.0,1.0,0.0,1.0,0.00017736407240942934,bernoulli_good_state,8592
classical_monte_carlo,classical_monte_carlo,none,,,,ideal,6q_instance,base,1,1,base,4500.0,12500.0,data\multi_asset\6q_instance\benchmark\three_asset_instance.npz,data\multi_asset\6q_instance\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,1,Classical MC,classical_mc,0,64,64.0,64.0,0.21875,0.1328730942948926,0.08587690570510739,0.6463077130913805,0.5864946085782612,0.9655505977889014,0.3790559892106402,0.6463077130913802,0.5864946085782612,0.9655505977889014,0.3790559892106402,0.6463077130913802,,0,False,0,1,,3.700028173625469e-06,3.700028173625469e-06,10,0,0.1328730942948926,64,1.0,1.0,0.0,1.0,0.4177136600014102,bernoulli_good_state,14
classical_monte_carlo,classical_monte_carlo,none,,,,ideal,6q_instance,base,1,1,base,4500.0,12500.0,data\multi_asset\6q_instance\benchmark\three_asset_instance.npz,data\multi_asset\6q_instance\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,1,Classical MC,classical_mc,1,128,128.0,128.0,0.1953125,0.1328730942948926,0.06243940570510739,0.46991760097444685,0.5864946085782612,0.8620987480258049,0.2756041394475437,0.4699176009744468,0.5864946085782612,0.8620987480258049,0.2756041394475437,0.4699176009744468,,0,False,0,1,,1.4199991710484028e-05,1.4199991710484028e-05,10,0,0.1328730942948926,128,1.0,1.0,0.0,1.0,0.22082255170557946,bernoulli_good_state,25
classical_monte_carlo,classical_monte_carlo,none,,,,ideal,6q_instance,base,1,1,base,4500.0,12500.0,data\multi_asset\6q_instance\benchmark\three_asset_instance.npz,data\multi_asset\6q_instance\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,1,Classical MC,classical_mc,2,256,256.0,256.0,0.171875,0.1328730942948926,0.03900190570510739,0.29352748885751323,0.5864946085782612,0.7586468982627083,0.17215228968444707,0.2935274888575131,0.5864946085782612,0.7586468982627083,0.17215228968444707,0.2935274888575131,,0,False,0,1,,2.2099993657320738e-05,2.2099993657320738e-05,10,0,0.1328730942948926,256,1.0,1.0,0.0,1.0,0.08615838671499755,bernoulli_good_state,44
classical_monte_carlo,classical_monte_carlo,none,,,,ideal,6q_instance,base,1,1,base,4500.0,12500.0,data\multi_asset\6q_instance\benchmark\three_asset_instance.npz,data\multi_asset\6q_instance\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,1,Classical MC,classical_mc,3,512,512.0,512.0,0.15234375,0.1328730942948926,0.019470655705107393,0.14653572876006854,0.5864946085782612,0.6724370234601278,0.0859424148818666,0.14653572876006846,0.5864946085782612,0.6724370234601278,0.0859424148818666,0.14653572876006846,,0,False,0,1,,2.889998722821474e-05,2.889998722821474e-05,10,0,0.1328730942948926,512,1.0,1.0,0.0,1.0,0.02147271980324438,bernoulli_good_state,78
classical_monte_carlo,classical_monte_carlo,none,,,,ideal,6q_instance,base,1,1,base,4500.0,12500.0,data\multi_asset\6q_instance\benchmark\three_asset_instance.npz,data\multi_asset\6q_instance\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,1,Classical MC,classical_mc,4,1024,1024.0,1024.0,0.158203125,0.1328730942948926,0.025330030705107393,0.19063325678930193,0.5864946085782612,0.6982999859009019,0.11180537732264073,0.19063325678930182,0.5864946085782612,0.6982999859009019,0.11180537732264073,0.19063325678930182,,0,False,0,1,,3.5400036722421646e-05,3.5400036722421646e-05,10,0,0.1328730942948926,1024,1.0,1.0,0.0,1.0,0.03634103859409593,bernoulli_good_state,162
classical_monte_carlo,classical_monte_carlo,none,,,,ideal,6q_instance,base,1,1,base,4500.0,12500.0,data\multi_asset\6q_instance\benchmark\three_asset_instance.npz,data\multi_asset\6q_instance\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,1,Classical MC,classical_mc,5,2048,2048.0,2048.0,0.1357421875,0.1328730942948926,0.0028690932051073925,0.02159273267724055,0.5864946085782612,0.5991586298779343,0.012664021299673145,0.021592732677240413,0.5864946085782612,0.5991586298779343,0.012664021299673145,0.021592732677240413,,0,False,0,1,,4.2600033339113e-05,4.2600033339113e-05,10,0,0.1328730942948926,2048,1.0,1.0,0.0,1.0,0.0004662461044707719,bernoulli_good_state,278
classical_monte_carlo,classical_monte_carlo,none,,,,ideal,6q_instance,base,1,1,base,4500.0,12500.0,data\multi_asset\6q_instance\benchmark\three_asset_instance.npz,data\multi_asset\6q_instance\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,1,Classical MC,classical_mc,6,4096,4096.0,4096.0,0.13671875,0.1328730942948926,0.0038456557051073925,0.028942320682112783,0.5864946085782612,0.6034691236180634,0.016974515039802185,0.028942320682112672,0.5864946085782612,0.6034691236180634,0.016974515039802185,0.028942320682112672,,0,False,0,1,,6.2700011767447e-05,6.2700011767447e-05,10,0,0.1328730942948926,4096,1.0,1.0,0.0,1.0,0.0008376579264662533,bernoulli_good_state,560
classical_monte_carlo,classical_monte_carlo,none,,,,ideal,6q_instance,base,1,1,base,4500.0,12500.0,data\multi_asset\6q_instance\benchmark\three_asset_instance.npz,data\multi_asset\6q_instance\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,1,Classical MC,classical_mc,7,8192,8192.0,8192.0,0.13720703125,0.1328730942948926,0.0043339369551073925,0.0326171146845489,0.5864946085782612,0.6056243704881279,0.019129761909866705,0.0326171146845488,0.5864946085782612,0.6056243704881279,0.019129761909866705,0.0326171146845488,,0,False,0,1,,6.970000686123967e-05,6.970000686123967e-05,10,0,0.1328730942948926,8192,1.0,1.0,0.0,1.0,0.0010638761703450155,bernoulli_good_state,1124
classical_monte_carlo,classical_monte_carlo,none,,,,ideal,6q_instance,base,1,1,base,4500.0,12500.0,data\multi_asset\6q_instance\benchmark\three_asset_instance.npz,data\multi_asset\6q_instance\quantum\training\crca\positive_exposure\training_heavy_hex_star_shots_backend_noise_snapshot.npz,cva,1,Classical MC,classical_mc,8,16384,16384.0,16384.0,0.135009765625,0.1328730942948926,0.0021366713301073925,0.016080541673586374,0.5864946085782612,0.5959257595728377,0.009431150994576476,0.016080541673586406,0.5864946085782612,0.5959257595728377,0.009431150994576476,0.016080541673586406,,0,False,0,1,,7.589999586343765e-05,7.589999586343765e-05,10,0,0.1328730942948926,16384,1.0,1.0,0.0,1.0,0.0002585838205159481,bernoulli_good_state,2212
