run_kind,simulation_regime,instance_name,sampler,sampler_mode,fast_circuits,construct_circuit_mode,repetition,algorithm,algorithm_key,final_queries,final_estimate,a_true,final_abs_error,final_normalized_abs_error,min_abs_error,min_normalized_abs_error,target_name,processed_true_value,processed_estimate,processed_abs_error,processed_relative_error,min_processed_abs_error,min_processed_relative_error,cva_true,cva_estimate,cva_abs_error,cva_relative_error,ci_low,ci_high,processed_ci_low,processed_ci_high,cva_ci_low,cva_ci_high,coverage,k_max,amplification_factor_max,runtime_wall_seconds,circuit_prepare_wall_seconds,construct_circuit_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,max_queries_requested,max_queries_reached
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,0,CABIQAE,cabiqae_latentt,635450.0,0.13287643122607717,0.1328730942948926,3.3369311845665717e-06,2.511367107294676e-05,5.169490013279265e-07,3.890546871593379e-06,cva,0.5864946085782612,0.586509337610947,1.4729032685845134e-05,2.5113671072868368e-05,2.2817847645795197e-06,3.890546871540492e-06,0.5864946085782612,0.586509337610947,1.4729032685845134e-05,2.5113671072868368e-05,0.1328664495800654,0.13288641287208897,0.5864652791685535,0.5865533960533407,0.5864652791685535,0.5865533960533407,1.0,13085,26171,0.030913300055544823,0.001338499947451055,0.001338499947451055,19,12,12,300000,True
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,0,BIQAE,biqae,902090.0,0.13287692939187873,0.1328730942948926,3.835096986121167e-06,2.8862855994079013e-05,3.835096986121167e-06,2.8862855994079013e-05,cva,0.5864946085782612,0.5865115364876898,1.6927909428643417e-05,2.8862855993985792e-05,1.6927909428643417e-05,2.8862855993985792e-05,0.5864946085782612,0.5865115364876898,1.6927909428643417e-05,2.8862855993985792e-05,0.13286914098828073,0.13288471779547673,0.5864771588979761,0.5865459140774035,0.5864771588979761,0.5865459140774035,1.0,13049,26099,0.13304049969883636,0.001049100304953754,0.001049100304953754,27,10,22,300000,True
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,0,IQAE,iqae,1117950.0,0.13287344858215172,0.1328730942948926,3.5428725911335057e-07,2.6663581592151476e-06,3.5428725911335057e-07,2.6663581592151476e-06,cva,0.5864946085782612,0.586496172382946,1.5638046848565068e-06,2.6663581591097174e-06,1.5638046848565068e-06,2.6663581591097174e-06,0.5864946085782612,0.586496172382946,1.5638046848565068e-06,2.6663581591097174e-06,0.1328680325078653,0.13287886465643817,0.586472266125735,0.5865200786401573,0.586472266125735,0.5865200786401573,1.0,21093,42187,0.010117300320416689,0.0008313996950164437,0.0008313996950164437,30,11,33,300000,True
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,0,BAE,bae,350150.0,0.13287862209790263,0.1328730942948926,5.527803010024757e-06,4.160212448847317e-05,2.0109665821166356e-06,1.51344904910063e-05,cva,0.5864946085782612,0.586519007999979,2.43994217178356e-05,4.1602124488378426e-05,8.876297076576556e-06,1.5134490491044493e-05,0.5864946085782612,0.586519007999979,2.43994217178356e-05,4.1602124488378426e-05,0.13286572712046965,0.1328915170753356,0.586462090271207,0.5865759257287512,0.586462090271207,0.5865759257287512,1.0,6168,12337,5.811965400003828,0.0,0.0,0,0,0,300000,True
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,1,CABIQAE,cabiqae_latentt,703490.0,0.13287061569299896,0.1328730942948926,2.4786018936462373e-06,1.8653903612309495e-05,1.6124195656164186e-06,1.2135034366234345e-05,cva,0.5864946085782612,0.5864836681643636,1.09404138975977e-05,1.8653903612377068e-05,7.117132230782808e-06,1.2135034366361282e-05,0.5864946085782612,0.5864836681643636,1.09404138975977e-05,1.8653903612377068e-05,0.1328607083822897,0.13288052300370826,0.5864399378339508,0.5865273984947765,0.5864399378339508,0.5865273984947765,1.0,9749,19499,0.03318100003525615,0.0008453999762423337,0.0008453999762423337,25,8,41,300000,True
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,1,BIQAE,biqae,762120.0,0.13286937564632856,0.1328730942948926,3.718648564049465e-06,2.7986467717809465e-05,1.4053771998923104e-06,1.0576838052505039e-05,cva,0.5864946085782612,0.5864781946658315,1.6413912429680266e-05,2.7986467717869927e-05,6.20325849365333e-06,1.0576838052596649e-05,0.5864946085782612,0.5864781946658315,1.6413912429680266e-05,2.7986467717869927e-05,0.1328603413399927,0.13287840995266445,0.5864383177292226,0.5865180716024405,0.5864383177292226,0.5865180716024405,1.0,13984,27969,0.13970550004160032,0.0010800999589264393,0.0010800999589264393,22,10,51,300000,True
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,1,IQAE,iqae,1399170.0,0.13287465813670357,0.1328730942948926,1.5638418109642505e-06,1.1769439247749659e-05,6.056657038400193e-07,4.558226833310827e-06,cva,0.5864946085782612,0.586501511290926,6.902712664791366e-06,1.1769439247744211e-05,2.6733754624475026e-06,4.5582268333687e-06,0.5864946085782612,0.586501511290926,6.902712664791366e-06,1.1769439247744211e-05,0.13286886968045705,0.13288044659295006,0.5864759613600043,0.5865270612218474,0.5864759613600043,0.5865270612218474,1.0,24772,49545,0.011610999936237931,0.0006762000848539174,0.0006762000848539174,35,6,57,300000,True
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,1,BAE,bae,532380.0,0.13287429291674044,0.1328730942948926,1.1986218478310384e-06,9.020801797321515e-06,1.1986218478310384e-06,9.020801797321515e-06,cva,0.5864946085782612,0.5864998992298803,5.290651619138664e-06,9.020801797247359e-06,5.290651619138664e-06,9.020801797247359e-06,0.5864946085782612,0.5864998992298803,5.290651619138664e-06,9.020801797247359e-06,0.1328651759096651,0.13288340992381578,0.5864596572567071,0.5865401412030535,0.5864596572567071,0.5865401412030535,1.0,12476,24953,5.981001500040293,0.0,0.0,0,0,0,300000,True
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,2,CABIQAE,cabiqae_latentt,779970.0,0.13287592755120775,0.1328730942948926,2.8332563151434176e-06,2.1323025027590727e-05,1.6849277325869938e-06,1.2680729244157892e-05,cva,0.5864946085782612,0.5865071144174784,1.2505839217191728e-05,2.132302502747212e-05,7.437179334601751e-06,1.2680729244264386e-05,0.5864946085782612,0.5865071144174784,1.2505839217191728e-05,2.132302502747212e-05,0.13286761492581614,0.13288424017659936,0.5864704229412907,0.5865438058936662,0.5864704229412907,0.5865438058936662,1.0,14626,29253,0.030813199991825968,0.0010832000407390296,0.0010832000407390296,19,8,65,300000,True
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,2,BIQAE,biqae,903440.0,0.1328716423313439,0.1328730942948926,1.4519635486986981e-06,1.0927445894172338e-05,4.45743657401243e-07,3.3546570113884716e-06,cva,0.5864946085782612,0.5864881996901588,6.408888102438226e-06,1.0927445894130554e-05,1.9674882507647595e-06,3.3546570113137197e-06,0.5864946085782612,0.5864881996901588,6.408888102438226e-06,1.0927445894130554e-05,0.13286408510587283,0.132879199556815,0.5864548425081189,0.5865215568721985,0.5864548425081189,0.5865215568721985,1.0,16784,33569,0.1431651001330465,0.000821199850179255,0.000821199850179255,25,9,74,300000,True
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,2,IQAE,iqae,934090.0,0.1337543867597048,0.1328730942948926,0.0008812924648121945,0.006632587804844022,0.0007264277292578225,0.005467079193968504,cva,0.5864946085782612,0.5903845855667241,0.00388997698846294,0.006632587804844016,0.0032064124719328735,0.005467079193968436,0.5864946085782612,0.5903845855667241,0.00388997698846294,0.006632587804844016,0.1337455695642402,0.1337632039551694,0.5903456669456879,0.5904235041877604,0.5903456669456879,0.5904235041877604,0.0,12106,24213,0.01211070007411763,0.000691999914124608,0.000691999914124608,37,8,82,300000,True
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,2,BAE,bae,380830.0,0.132878766691507,0.1328730942948926,5.672396614392339e-06,4.2690332790800186e-05,5.672396614392339e-06,4.2690332790800186e-05,cva,0.5864946085782612,0.5865196462282813,2.5037650020154345e-05,4.269033279069495e-05,2.5037650020154345e-05,4.269033279069495e-05,0.5864946085782612,0.5865196462282813,2.5037650020154345e-05,4.269033279069495e-05,0.1328654334825543,0.1328920999004597,0.5864607941694255,0.5865784982871373,0.5864607941694255,0.5865784982871373,1.0,6358,12717,5.641052999999374,0.0,0.0,0,0,0,300000,True
ideal_noiseless,ideal_noiseless,6q_instance,False,fast_ideal_formula,True,metadata_only,3,CABIQAE,cabiqae_latentt,701770.0,0.132866874495702,0.1328730942948926,6.219799190604336e-06,4.681007260055517e-05,1.502385510138149e-06,1.1306920472581316e-05,cva,0.5864946085782612,0.5864671547230538,2.74538552074155e-05,4.681007260061128e-05,6.631447896809917e-06,1.1306920472611682e-05,0.5864946085782612,0.5864671547230538,2.74538552074155e-05,4.681007260061128e-05,0.13285707479868647,0.13287667419271754,0.5864238993936298,0.5865104100524777,0.5864238993936298,0.5865104100524777,1.0,12555,25111,0.032748099823947996,0.00073380017420277,0.00073380017420277,26,7,89,300000,True
