algorithm,algorithm_key,mean_final_normalized_abs_error,mean_final_queries,median_final_normalized_abs_error,median_final_queries,n
BIQAE,biqae,0.0005707390920747835,54489.7,0.00024162189721148875,55040.0,300
CABIQAE,cabiqae_latentt,0.003212058026578335,53716.36666666667,0.00022692141563444114,53985.0,300
IQAE,iqae,0.00040950522761584377,55042.566666666666,0.00022768013368419405,54800.0,300
