algorithm,algorithm_key,mean_final_normalized_abs_error,mean_runtime_seconds,median_final_normalized_abs_error,median_runtime_seconds,n
CABIQAE,cabiqae_latentt,0.0032120580265783396,0.0022613447507046015,0.00022692141563444276,0.002200618889078047,300
BIQAE,biqae,0.0005707390920747818,0.008973780849480906,0.0002416218972115226,0.008978131688383812,300
Classical MC,classical_mc,0.007874615717540365,7.71789993935575e-05,0.006721300698631888,6.945000495761633e-05,300
