profile,scenario_id,objective_ry_offset,a_true,rep,algorithm,final_queries,final_estimate,final_abs_error,final_nrmse,coverage,runtime_seconds,k_max
realistic,1,-0.6465633030494207,0.3223500793991444,1,BAE,16932,0.3205167177832116,0.0018333616159327826,0.005687486162094765,1.0,8.701790899969637,85
realistic,1,-0.6465633030494207,0.3223500793991444,1,BIQAE,36352,0.3282655448556163,0.0059154654564719245,0.01835105940565692,0.0,3.789799200021662,421
realistic,1,-0.6465633030494207,0.3223500793991444,1,CABIQAE_latentt,13824,0.3195106318244941,0.0028394475746503223,0.008808583450461713,0.0,1.832790299959015,51
realistic,1,-0.6465633030494207,0.3223500793991444,2,BAE,18020,0.3214538603694566,0.0008962190296877837,0.0027802661980363776,1.0,11.618212900008075,77
realistic,1,-0.6465633030494207,0.3223500793991444,2,BIQAE,47808,0.3334810311835652,0.011130951784420806,0.034530631433901705,0.0,5.505300899967551,537
realistic,1,-0.6465633030494207,0.3223500793991444,2,CABIQAE_latentt,18048,0.3170470024754288,0.005303076923715622,0.016451297091660332,0.0,2.0565868000267074,49
realistic,1,-0.6465633030494207,0.3223500793991444,3,BAE,16612,0.31969117446709994,0.002658904932044459,0.00824850093724381,0.0,10.127732000022661,85
realistic,1,-0.6465633030494207,0.3223500793991444,3,BIQAE,48512,0.32207142335126204,0.000278656047882353,0.0008644516185687424,1.0,6.413096700038295,561
realistic,1,-0.6465633030494207,0.3223500793991444,3,CABIQAE_latentt,12224,0.3152891408423286,0.007060938556815777,0.021904565899215096,0.0,1.8592143999994732,33
realistic,1,-0.6465633030494207,0.3223500793991444,4,BAE,18916,0.31833296495598373,0.004017114443160663,0.012461962009280417,0.0,10.448196100012865,85
realistic,1,-0.6465633030494207,0.3223500793991444,4,BIQAE,40704,0.3259291726818229,0.003579093282678525,0.011103125177911852,0.0,4.574084100022446,477
realistic,1,-0.6465633030494207,0.3223500793991444,4,CABIQAE_latentt,14080,0.32285376536561117,0.0005036859664667714,0.0015625433299276189,1.0,1.9106348999775946,35
realistic,1,-0.6465633030494207,0.3223500793991444,5,BAE,15588,0.32038782670918725,0.0019622526899571446,0.006087334284560294,1.0,12.17556450003758,85
realistic,1,-0.6465633030494207,0.3223500793991444,5,BIQAE,60032,0.32720632650189324,0.004856247102748845,0.01506513388115435,0.0,5.862226400000509,713
realistic,1,-0.6465633030494207,0.3223500793991444,5,CABIQAE_latentt,12928,0.32535029125596115,0.003000211856816759,0.009307309191327355,0.0,1.764970500022173,27
realistic,1,-0.6465633030494207,0.3223500793991444,6,BAE,18724,0.31641821555516314,0.0059318638439812554,0.01840193076743818,0.0,13.990228400041815,75
realistic,1,-0.6465633030494207,0.3223500793991444,6,BIQAE,53824,0.3371615142254354,0.014811434826290992,0.04594828967903244,0.0,5.6021423999918625,625
realistic,1,-0.6465633030494207,0.3223500793991444,6,CABIQAE_latentt,13056,0.3242411959541813,0.0018911165550369313,0.0058666545346039425,1.0,1.6345927999936976,35
realistic,1,-0.6465633030494207,0.3223500793991444,7,BAE,16740,0.32060869055629626,0.001741388842848135,0.005402166632296344,1.0,14.049966799968388,85
realistic,1,-0.6465633030494207,0.3223500793991444,7,BIQAE,53568,0.3272902380874676,0.004940158688323204,0.015325445855423966,0.0,7.505859299970325,615
realistic,1,-0.6465633030494207,0.3223500793991444,7,CABIQAE_latentt,12992,0.32236169167524814,1.1612276103745156e-05,3.602380407471982e-05,1.0,1.987414000032004,35
realistic,1,-0.6465633030494207,0.3223500793991444,8,BAE,15204,0.31542921026309634,0.006920869136048058,0.021470040115853087,0.0,12.9103088999982,75
realistic,1,-0.6465633030494207,0.3223500793991444,8,BIQAE,68480,0.35445290665136076,0.03210282725221636,0.0995899467810138,0.0,9.280782400048338,777
realistic,1,-0.6465633030494207,0.3223500793991444,8,CABIQAE_latentt,14656,0.3261620546404481,0.0038119752413037222,0.011825575623896807,0.0,1.881899100029841,45
realistic,1,-0.6465633030494207,0.3223500793991444,9,BAE,16612,0.3298336617375741,0.007483582338429717,0.023215698759494648,0.0,10.581439799978398,73
realistic,1,-0.6465633030494207,0.3223500793991444,9,BIQAE,47168,0.33119099520844164,0.008840915809297245,0.027426442164297203,0.0,6.165871399978641,529
realistic,1,-0.6465633030494207,0.3223500793991444,9,CABIQAE_latentt,13696,0.32525060118232674,0.0029005217831823416,0.008998048918085796,0.0,1.7989500999683514,45
realistic,1,-0.6465633030494207,0.3223500793991444,10,BAE,15524,0.31646761830844383,0.005882461090700564,0.018248672690465536,0.0,8.87013209995348,75
realistic,1,-0.6465633030494207,0.3223500793991444,10,BIQAE,46080,0.3334821573451836,0.01113207794603921,0.03453412503198148,0.0,5.400240199989639,509
realistic,1,-0.6465633030494207,0.3223500793991444,10,CABIQAE_latentt,13760,0.31920728481071725,0.0031427945884271447,0.009749631811120586,0.0,2.1205666000023484,51
