profile,scenario_id,objective_ry_offset,a_true,rep,budget,algorithm,estimate,abs_error,nrmse,k_max_budget,time_to_budget_seconds
realistic,1,-0.6465633030494207,0.3223500793991444,1,300,BAE,0.2757992194198077,0.04655085997933672,0.14441088417321568,1,0.154177726788973
realistic,1,-0.6465633030494207,0.3223500793991444,1,300,BIQAE,0.3242679904229939,0.0019179110238495278,0.005949776799883172,1,0.031275851672713975
realistic,1,-0.6465633030494207,0.3223500793991444,1,300,CABIQAE_latentt,0.4012444042970057,0.0788943248978613,0.24474734129093162,1,0.039774095051193906
realistic,1,-0.6465633030494207,0.3223500793991444,1,525,BAE,0.2757992194198077,0.04655085997933672,0.14441088417321568,1,0.2698110218807028
realistic,1,-0.6465633030494207,0.3223500793991444,1,525,BIQAE,0.3075648253927877,0.014785254006356718,0.04586707108593305,1,0.05473274042724947
realistic,1,-0.6465633030494207,0.3223500793991444,1,525,CABIQAE_latentt,0.33439180312756045,0.012041723728416054,0.03735604393478557,3,0.06960466633958932
realistic,1,-0.6465633030494207,0.3223500793991444,1,917,BAE,0.3122680504528771,0.010082028946267307,0.03127664483613609,7,0.4712699182182942
realistic,1,-0.6465633030494207,0.3223500793991444,1,917,BIQAE,0.3319065779809318,0.00955649858178742,0.029646335436307594,7,0.09559985327959572
realistic,1,-0.6465633030494207,0.3223500793991444,1,917,CABIQAE_latentt,0.32258781798479874,0.0002377385856543457,0.0007375167584803663,9,0.12157615053981603
realistic,1,-0.6465633030494207,0.3223500793991444,1,1604,BAE,0.3122680504528771,0.010082028946267307,0.03127664483613609,7,0.8243369125650424
realistic,1,-0.6465633030494207,0.3223500793991444,1,1604,BIQAE,0.3319065779809318,0.00955649858178742,0.029646335436307594,7,0.16722155361011073
realistic,1,-0.6465633030494207,0.3223500793991444,1,1604,CABIQAE_latentt,0.32258781798479874,0.0002377385856543457,0.0007375167584803663,9,0.21265882820705007
realistic,1,-0.6465633030494207,0.3223500793991444,1,2805,BAE,0.3219845624462622,0.00036551695288217223,0.001133913022647583,33,1.4415617454768979
realistic,1,-0.6465633030494207,0.3223500793991444,1,2805,BIQAE,0.32671413489425294,0.004364055495108543,0.013538248550281346,27,0.2924292131398757
realistic,1,-0.6465633030494207,0.3223500793991444,1,2805,CABIQAE_latentt,0.3206183971178595,0.0017316822812848964,0.005372054768879616,25,0.371887788728663
realistic,1,-0.6465633030494207,0.3223500793991444,1,4905,BAE,0.3219845624462622,0.00036551695288217223,0.001133913022647583,33,2.520805832999709
realistic,1,-0.6465633030494207,0.3223500793991444,1,4905,BIQAE,0.32671413489425294,0.004364055495108543,0.013538248550281346,27,0.5113601748488735
realistic,1,-0.6465633030494207,0.3223500793991444,1,4905,CABIQAE_latentt,0.3196269668535101,0.0027231125456342875,0.008447686908314487,25,0.6503064540870203
realistic,1,-0.6465633030494207,0.3223500793991444,1,8578,BAE,0.3204944735895993,0.00185560580954508,0.005756492484828609,61,4.408455134652702
realistic,1,-0.6465633030494207,0.3223500793991444,1,8578,BIQAE,0.32671413489425294,0.004364055495108543,0.013538248550281346,27,0.8942808521618016
realistic,1,-0.6465633030494207,0.3223500793991444,1,8578,CABIQAE_latentt,0.31892748298542817,0.003422596413716228,0.010617637880207429,25,1.137273957830471
realistic,1,-0.6465633030494207,0.3223500793991444,2,300,BAE,0.30998602974773926,0.01236404965140514,0.03835596899635185,1,0.19342196836861392
realistic,1,-0.6465633030494207,0.3223500793991444,2,300,BIQAE,0.3433694857169086,0.021019406317764222,0.06520676637320541,1,0.034546315888350596
realistic,1,-0.6465633030494207,0.3223500793991444,2,300,CABIQAE_latentt,0.37195436131061727,0.04960428191147287,0.15388326258189386,1,0.034185285904699256
realistic,1,-0.6465633030494207,0.3223500793991444,2,525,BAE,0.30998602974773926,0.01236404965140514,0.03835596899635185,1,0.3384884446450743
realistic,1,-0.6465633030494207,0.3223500793991444,2,525,BIQAE,0.3347488169666941,0.012398737567549722,0.03846357845067319,3,0.060456052804613546
realistic,1,-0.6465633030494207,0.3223500793991444,2,525,CABIQAE_latentt,0.3279019341671975,0.005551854768053088,0.017223060029647456,3,0.0598242503332237
realistic,1,-0.6465633030494207,0.3223500793991444,2,917,BAE,0.320282569069844,0.002067510329300415,0.006413866356584191,9,0.5912264833133964
realistic,1,-0.6465633030494207,0.3223500793991444,2,917,BIQAE,0.3347488169666941,0.012398737567549722,0.03846357845067319,3,0.10559657223205832
realistic,1,-0.6465633030494207,0.3223500793991444,2,917,CABIQAE_latentt,0.3074417538411851,0.01490832555795929,0.04624886578513702,9,0.10449302391536407
