model,success,n_params,nll,rmse,aic,bic,message,delta,T,r01,r10
drift_contrast_spam,True,4,7992.695407054615,0.003204624099679584,15993.39081410923,15997.754983922663,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.0023164347193462376,3947.727195912078,0.0,0.007569483481824738
drift_spam,True,3,8000.2372751331695,0.005563550545706773,16006.474550266339,16009.747677626414,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.002529248325689393,,0.012994980574217028,0.00991716049908216
spam_only,True,2,8836.172311381193,0.045252595145851636,17676.344622762386,17678.5267076691,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,0.0,0.049060838706027884
contrast_only,True,1,9068.222686210129,0.06060974669551089,18138.445372420258,18139.536414873615,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,1069.9862061119775,,
