profile,scenario_id,objective_ry_offset,a_true,t_eff,k,K,p_ideal,p_noisy,c_est
realistic,1,-0.5012253030340587,0.15841401426663826,127.33216234051532,0.0,1.0,0.15841401426663826,0.159,0.9982845147112704
realistic,1,-0.5012253030340587,0.15841401426663826,127.33216234051532,1.0,3.0,0.8870525252096578,0.8806666666666667,0.9835013128010675
realistic,1,-0.5012253030340587,0.15841401426663826,127.33216234051532,2.0,5.0,0.7900676575470771,0.7748333333333334,0.9474801005304384
realistic,1,-0.5012253030340587,0.15841401426663826,127.33216234051532,4.0,9.0,0.266589722732645,0.27066666666666667,0.9825331430057305
realistic,1,-0.5012253030340587,0.15841401426663826,127.33216234051532,8.0,17.0,0.3912332407350104,0.4055,0.8688316231778925
realistic,2,-0.43626236405252855,0.12256494449933569,211.00982630250027,0.0,1.0,0.12256494449933569,0.118,1.0
realistic,2,-0.43626236405252855,0.12256494449933569,211.00982630250027,1.0,3.0,0.7720115799388619,0.7698333333333334,0.9919920813444113
realistic,2,-0.43626236405252855,0.12256494449933569,211.00982630250027,2.0,5.0,0.953412116275189,0.9396666666666667,0.9696844236950656
realistic,2,-0.43626236405252855,0.12256494449933569,211.00982630250027,4.0,9.0,0.00598475298362847,0.0235,0.9645451286733442
realistic,2,-0.43626236405252855,0.12256494449933569,211.00982630250027,8.0,17.0,0.04056433485439361,0.07583333333333334,0.9232340866097931
realistic,3,-0.29318665646439546,0.06675234311190258,226.86302196459943,0.0,1.0,0.06675234311190258,0.06733333333333333,0.9986589881971807
realistic,3,-0.29318665646439546,0.06675234311190258,226.86302196459943,1.0,3.0,0.4985891224267266,0.48733333333333334,nan
realistic,3,-0.29318665646439546,0.06675234311190258,226.86302196459943,2.0,5.0,0.9318321847705813,0.918,0.9679686108205904
realistic,3,-0.29318665646439546,0.06675234311190258,226.86302196459943,4.0,9.0,0.5042325877844812,0.5171666666666667,nan
realistic,3,-0.29318665646439546,0.06675234311190258,226.86302196459943,8.0,17.0,0.9289600255154732,0.8976666666666666,0.9270483098950726
realistic,4,-0.26749771541378475,0.06037567338876554,178.9822102614548,0.0,1.0,0.06037567338876554,0.06,1.0
realistic,4,-0.26749771541378475,0.06037567338876554,178.9822102614548,1.0,3.0,0.45941705767307206,0.4528333333333333,1.0
realistic,4,-0.26749771541378475,0.06037567338876554,178.9822102614548,2.0,5.0,0.8952950601884426,0.8878333333333334,0.9811236526670681
realistic,4,-0.26749771541378475,0.06037567338876554,178.9822102614548,4.0,9.0,0.6206794013827533,0.6173333333333333,0.972273080483657
realistic,4,-0.26749771541378475,0.06037567338876554,178.9822102614548,8.0,17.0,0.776829194374294,0.7546666666666667,0.919941508489665
realistic,5,-0.17422471903694559,0.04706996671124059,259.0231818702828,0.0,1.0,0.04706996671124059,0.0475,0.9990505524978397
realistic,5,-0.17422471903694559,0.04706996671124059,259.0231818702828,1.0,3.0,0.3721243357721248,0.37183333333333335,1.0
realistic,5,-0.17422471903694559,0.04706996671124059,259.0231818702828,2.0,5.0,0.7889512531270907,0.785,0.9863255373204671
realistic,5,-0.17422471903694559,0.04706996671124059,259.0231818702828,4.0,9.0,0.8501702473618589,0.833,0.950966001562904
realistic,5,-0.17422471903694559,0.04706996671124059,259.0231818702828,8.0,17.0,0.29687655875258034,0.30866666666666664,0.9419559463857002
realistic,6,0.1572940057395037,0.1249322604628993,199.92286787890177,0.0,1.0,0.1249322604628993,0.12533333333333332,0.9989306655087719
realistic,6,0.1572940057395037,0.1249322604628993,199.92286787890177,1.0,3.0,0.7809958941352899,0.7756666666666666,0.9810345005750958
realistic,6,0.1572940057395037,0.1249322604628993,199.92286787890177,2.0,5.0,0.9455451480827192,0.9295,0.9639876045070516
realistic,6,0.1572940057395037,0.1249322604628993,199.92286787890177,4.0,9.0,0.012005412068710412,0.0315,0.9600516308717046
realistic,6,0.1572940057395037,0.1249322604628993,199.92286787890177,8.0,17.0,0.01994078430756551,0.06016666666666667,0.9162064157000308
realistic,7,0.2820074732015594,0.19960821409986915,543.9389504093696,0.0,1.0,0.19960821409986915,0.20283333333333334,0.9892636237578868
realistic,7,0.2820074732015594,0.19960821409986915,543.9389504093696,1.0,3.0,0.9674806313044657,0.9615,0.9872066757337578
realistic,7,0.2820074732015594,0.19960821409986915,543.9389504093696,2.0,5.0,0.5403620427448941,0.5328333333333334,0.8134705555131225
realistic,7,0.2820074732015594,0.19960821409986915,543.9389504093696,4.0,9.0,0.7321556733305358,0.7266666666666667,0.9763563535401781
realistic,7,0.2820074732015594,0.19960821409986915,543.9389504093696,8.0,17.0,0.99961199143168,0.9623333333333334,0.9253847811147977
realistic,8,0.4757847317323747,0.35039707595380243,245.0598968056263,0.0,1.0,0.35039707595380243,0.3536666666666667,0.9781448742816377
realistic,8,0.4757847317323747,0.35039707595380243,245.0598968056263,1.0,3.0,0.8952364799513491,0.887,0.9791606282082995
realistic,8,0.4757847317323747,0.35039707595380243,245.0598968056263,2.0,5.0,0.0006627872617887293,0.012666666666666666,0.9759603748756229
realistic,8,0.4757847317323747,0.35039707595380243,245.0598968056263,4.0,9.0,0.30214066630486847,0.30183333333333334,1.0
realistic,8,0.4757847317323747,0.35039707595380243,245.0598968056263,8.0,17.0,0.9495175232183716,0.914,0.9209874556967661
