profile,scenario_id,objective_ry_offset,a_true,rep,algorithm,final_queries,final_estimate,final_abs_error,final_nrmse,coverage,runtime_seconds,k_max
realistic,1,-0.5012253030340587,0.3275653106895712,1,BAE,19136,0.33092905922207194,0.0033637485325007654,0.010268940033422954,0.0,17.681228399975225,93
realistic,1,-0.5012253030340587,0.3275653106895712,1,BIQAE,35456,0.32428954570026264,0.0032757649893085383,0.010000341557573941,0.0,4.128988000098616,411
realistic,1,-0.5012253030340587,0.3275653106895712,1,CABIQAE_latentt,16000,0.3275944648649992,2.9154175428036666e-05,8.900263390730543e-05,1.0,2.5878439999651164,19
realistic,1,-0.5012253030340587,0.3275653106895712,2,BAE,19712,0.5000237345179824,0.17245842382841126,0.526485614320277,0.0,8.682102299993858,93
realistic,1,-0.5012253030340587,0.3275653106895712,2,BIQAE,57216,0.3345638298046752,0.006998519115104018,0.02136526331305091,0.0,6.777531999978237,643
realistic,1,-0.5012253030340587,0.3275653106895712,2,CABIQAE_latentt,11072,0.31946187487199557,0.00810343581757561,0.024738382097044206,0.0,1.9239584000315517,25
realistic,1,-0.5012253030340587,0.3275653106895712,3,BAE,15744,0.6050838409386463,0.27751853024907513,0.8472158717443538,0.0,8.16533220000565,87
realistic,1,-0.5012253030340587,0.3275653106895712,3,BIQAE,52992,0.3379201437355478,0.010354833045976619,0.0316115067989899,0.0,6.118794900015928,619
realistic,1,-0.5012253030340587,0.3275653106895712,3,CABIQAE_latentt,16640,0.3303596229389755,0.002794312249404296,0.008530549964286128,0.0,2.5775507000507787,19
realistic,1,-0.5012253030340587,0.3275653106895712,4,BAE,19584,0.4991635663343421,0.17159825564477094,0.5238596702548644,0.0,13.928438600036316,91
realistic,1,-0.5012253030340587,0.3275653106895712,4,BIQAE,58368,0.3299546659049374,0.0023893552153662068,0.007294286474768275,0.0,7.097627299954183,697
realistic,1,-0.5012253030340587,0.3275653106895712,4,CABIQAE_latentt,14912,0.32718113661390247,0.0003841740756687084,0.0011728167273267363,1.0,2.604539899970405,17
realistic,1,-0.5012253030340587,0.3275653106895712,5,BAE,19136,0.4991164118108633,0.17155110112129213,0.5237157156847679,0.0,11.911995699978434,97
realistic,1,-0.5012253030340587,0.3275653106895712,5,BIQAE,48448,0.32417529071593054,0.0033900199736406345,0.010349142180239307,0.0,5.616055399994366,551
realistic,1,-0.5012253030340587,0.3275653106895712,5,CABIQAE_latentt,16960,0.3269990393538693,0.0005662713357018623,0.0017287280344484013,1.0,2.8592977999942377,17
realistic,1,-0.5012253030340587,0.3275653106895712,6,BAE,18304,0.4989502304266733,0.17138491973710213,0.5232083927822293,0.0,11.29971289995592,99
realistic,1,-0.5012253030340587,0.3275653106895712,6,BIQAE,71808,0.3489646002420892,0.02139928955251802,0.06532831424508748,0.0,8.80813619995024,829
realistic,1,-0.5012253030340587,0.3275653106895712,6,CABIQAE_latentt,15488,0.3284434026480524,0.0008780919584812086,0.002680662236891633,1.0,2.8549604000290856,19
realistic,1,-0.5012253030340587,0.3275653106895712,7,BAE,18752,0.4990371443943346,0.17147183370476343,0.5234737260297527,0.0,10.356931999907829,97
realistic,1,-0.5012253030340587,0.3275653106895712,7,BIQAE,57280,0.32983507439885795,0.002269763709286776,0.006929194378087849,0.0,7.10955430008471,651
realistic,1,-0.5012253030340587,0.3275653106895712,7,CABIQAE_latentt,17024,0.32605691362019273,0.001508397069378442,0.0046048742652360026,1.0,2.808590400032699,17
realistic,1,-0.5012253030340587,0.3275653106895712,8,BAE,18304,0.43943704645321735,0.11187173576364617,0.34152497872299237,1.0,14.306095400010236,93
realistic,1,-0.5012253030340587,0.3275653106895712,8,BIQAE,68608,0.33472791086953707,0.0071626001799658945,0.021866174305477007,0.0,8.238124100025743,821
realistic,1,-0.5012253030340587,0.3275653106895712,8,CABIQAE_latentt,17664,0.32929731709688204,0.0017320064073108599,0.005287514736113974,1.0,2.851236499962397,19
realistic,1,-0.5012253030340587,0.3275653106895712,9,BAE,19712,0.499215545281646,0.17165023459207485,0.5240183529529635,0.0,12.166702599963173,95
realistic,1,-0.5012253030340587,0.3275653106895712,9,BIQAE,44608,0.32433504047836903,0.0032302702112021464,0.009861453901824867,0.0,5.612521899980493,499
realistic,1,-0.5012253030340587,0.3275653106895712,9,CABIQAE_latentt,16832,0.3269206621860583,0.000644648503512868,0.0019679999147522425,1.0,2.5483182999305427,19
