counts_json,good_counts,p_observed_good,prepared_bitstring,prepared_label,shots
"{""000"": 8111, ""001"": 29, ""010"": 22, ""100"": 30}",0,0.0,000,bad,8192
"{""011"": 43, ""101"": 50, ""110"": 28, ""111"": 8071}",8071,0.9852294921875,111,good,8192
