abs_error_mean,abs_error_median,algorithm,algorithm_key,amplification_factor_median,budget,cva_abs_error_median,cva_relative_error_median,estimate_mean,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_se,normalized_abs_error_std,processed_abs_error_median,processed_abs_error_median_ci_high,processed_abs_error_median_ci_low,processed_abs_error_se,processed_relative_error_median,processed_relative_error_median_ci_high,processed_relative_error_median_ci_low,processed_relative_error_se,query_budget_actual_mean,query_budget_actual_median,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_se,success_rate,target_name,total_repetitions
0.09479452363865425,0.09585113016865651,BIQAE,biqae,1.0,128,0.4224839955437585,0.7213735081379893,0.22766761793354687,0.0,0.10195395344229165,0.08808707482123894,100,100,0.7656189421255281,0.661807850436313,0.7134215105149242,0.7213735081379892,0.834809157567193,0.6079339838015949,0.02694385514266288,0.2694385514266288,0.4224839955437585,0.4889194078056456,0.3560463138801624,0.01578010205199686,0.7213735081379893,0.8348091575671931,0.607933983801595,0.02694385514266288,128.0,128.0,0.0027346804691217924,0.0026838580535958117,0.002707468253190795,0.0026878017158247112,0.0027194370195502415,0.0026667656083763746,1.2728116014463506e-05,1.0,cva,100
0.08759133220769755,0.0883146715159622,BIQAE,biqae,1.0,256,0.38926547054318617,0.6646542852382181,0.22046442650259018,0.0,0.09333354561083794,0.08181955971861428,100,100,0.7016576664108882,0.6160678358906468,0.6592104494330603,0.6646542852382181,0.7213735081379892,0.6079339838015949,0.0218443528445877,0.218443528445877,0.38926547054318617,0.4224839955437585,0.3560463138801624,0.012793496525358555,0.6646542852382181,0.7213735081379893,0.607933983801595,0.021844352844587703,167.68,128.0,0.0038030068161867066,0.0033049733442027233,0.003547089262826577,0.0027647680774951326,0.002830677203818277,0.0027194370195502415,0.00012750315112215646,1.0,cva,100
0.08759133220769755,0.0883146715159622,BIQAE,biqae,1.0,384,0.38926547054318617,0.6646542852382181,0.22046442650259018,0.0,0.0933052229846309,0.08181122616540581,100,100,0.7023985375632272,0.6167031119357705,0.6592104494330603,0.6646542852382181,0.7213735081379892,0.6079339838015949,0.0218443528445877,0.218443528445877,0.38926547054318617,0.4224839955437585,0.3560463138801624,0.012793496525358555,0.6646542852382181,0.7213735081379893,0.607933983801595,0.021844352844587703,167.68,128.0,0.0038098668170370334,0.0033017635584064137,0.003547089262826577,0.0027647680774951326,0.002825878170305784,0.0027194370195502415,0.00012750315112215646,1.0,cva,100
0.0913614732581621,0.09530095419344302,BIQAE,biqae,1.0,512,0.4200589793352757,0.7172328957880393,0.21389271952739328,0.0,0.09626869568412512,0.08628711441247063,100,100,0.7260011641026731,0.6509842074760371,0.687584448476819,0.7172328957880392,0.7419649036663363,0.6553468657502771,0.01931744341722812,0.1931744341722812,0.4200589793352757,0.43454367746788836,0.38381443064623033,0.011313571383660877,0.7172328957880393,0.7419649036663362,0.6553468657502771,0.01931744341722812,186.88,128.0,0.004397276147296986,0.0035963732091465295,0.003974652894176374,0.002768410424793517,0.0028469317261474014,0.0027196083058382155,0.00021302071443348694,1.0,cva,100
0.0913614732581621,0.09530095419344302,BIQAE,biqae,1.0,640,0.4200589793352757,0.7172328957880393,0.21389271952739328,0.0,0.09658901144411389,0.08628055081827456,100,100,0.7242355970394728,0.6498191758332722,0.687584448476819,0.7172328957880392,0.7419649036663363,0.6553468657502771,0.01931744341722812,0.1931744341722812,0.4200589793352757,0.43454367746788836,0.38381443064623033,0.011313571383660877,0.7172328957880393,0.7419649036663362,0.6600005754942476,0.01931744341722812,186.88,128.0,0.004388238887474538,0.0035942596562080196,0.003974652894176374,0.002768410424793517,0.0028453427782120294,0.0027194370195502415,0.00021302071443348694,1.0,cva,100
0.12368883083687521,0.12981191518728077,BIQAE,biqae,5.0,768,0.5721732910296323,0.9769616330239289,0.24622007710610638,2.0,0.12751010015403752,0.11996694978801023,100,100,0.9594911542396013,0.9028932902184862,0.9308794341942978,0.9769616330239289,1.0045228594466964,0.9317003430961683,0.01440341833503525,0.1440341833503525,0.5721732910296323,0.5883149664998517,0.5450721482726192,0.008435593571187675,0.9769616330239289,1.0045228594466966,0.930719043896021,0.014403418335035254,583.68,768.0,0.013328642652518595,0.011279292782309333,0.012333491853747727,0.015641526046420433,0.015881950809494835,0.01518451550952632,0.0005143612568071857,1.0,cva,100
0.1318948399036263,0.13348156910602768,BIQAE,biqae,5.0,896,0.5883480617091958,1.0045793681133417,0.25442608617285745,2.0,0.1341323805437104,0.12964327746537505,100,100,1.0086559883756394,0.9761300759306147,0.992637678858481,1.0045793681133417,1.0179419937487533,0.9892822137923643,0.008441499550635738,0.08441499550635738,0.5883480617091958,0.5962042098594302,0.5793858719182988,0.004943899960700003,1.0045793681133417,1.017943279104081,0.9892822137923644,0.008441499550635738,743.68,768.0,0.01640619821736126,0.014977759818178024,0.015729578780496266,0.016303774900080087,0.016567998873122203,0.016081562128008133,0.00037871842223973634,1.0,cva,100
0.13064881769473383,0.1334566778526383,BIQAE,biqae,5.0,1024,0.5882383482799692,1.0043920370850288,0.253180063963965,2.0,0.13293756041857108,0.12829189159963875,100,100,1.0006308774299835,0.9659792729468223,0.9832601429810738,1.0043920370850286,1.0167841233401196,0.9848089544988462,0.008959809094173555,0.08959809094173556,0.5882383482799692,0.5956569300169783,0.5767673202413062,0.005247456279877212,1.0043920370850288,1.0168370889884337,0.9848089544988463,0.008959809094173554,761.6,768.0,0.016737762615897656,0.01543017482035602,0.016104486468831936,0.016317649835029292,0.0166481742581184,0.016107028748732634,0.00033785899916583044,1.0,cva,100
0.12800706195412273,0.13211989785308553,BIQAE,biqae,5.0,1280,0.5823462095604749,0.9943314600611659,0.2505383082233539,2.0,0.13053882577456072,0.12528716420683939,100,100,0.9815320511855246,0.9429718675843648,0.9633783470868044,0.9943314600611659,1.0074256005603628,0.9799083458598833,0.009960887381789785,0.09960887381789786,0.5823462095604749,0.5896329982215055,0.5744842535863883,0.005833753877491937,0.9943314600611659,1.006789649169879,0.980270790951232,0.009960887381789785,815.36,768.0,0.01773959607329995,0.016718081758777856,0.017227311838834455,0.016523141754817876,0.016897930562883315,0.016279136365152557,0.00026598693931105863,1.0,cva,100
0.12800706195412273,0.13211989785308553,BIQAE,biqae,5.0,1536,0.5823462095604749,0.9943314600611659,0.2505383082233539,2.0,0.1305094721253329,0.1254869987627705,100,100,0.9823527857636916,0.9433816773313826,0.9633783470868044,0.9943314600611659,1.0064021126809324,0.9808986125855665,0.009960887381789785,0.09960887381789786,0.5823462095604749,0.5895919666351692,0.5744842535863883,0.005833753877491937,0.9943314600611659,1.0074256005603632,0.9799240414007416,0.009960887381789785,815.36,768.0,0.017765136656022126,0.01671427661972314,0.017227311838834455,0.016523141754817876,0.016955269021834706,0.016233047513771012,0.00026598693931105863,1.0,cva,100
