abs_error_mean,abs_error_median,algorithm,algorithm_key,amplification_factor_median,budget,estimate_mean,estimate_median,grover_power_max_median,n_points,n_runs,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_q25,normalized_abs_error_q75,normalized_abs_error_se,normalized_abs_error_std,normalized_rmse,normalized_sq_error_mean,query_budget_actual_mean,query_budget_actual_median,run_kind,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_se,runtime_wall_seconds_std,success_rate,total_repetitions
0.03868523977712792,0.031667629328396896,BAE,bae,1.0,100,0.5855138569097353,0.591205533142581,0.0,100,100,0.06741769895207077,0.04994260585506455,0.02380060939065163,0.09785914416622063,0.005813181400536672,0.058131814005366725,0.088829391833734,0.00789066085355105,100.0,100.0,ideal_simulation,0.2601626922535363,0.04187077554092668,0.21716327970577468,2.1716327970577467,1.0,100
0.03391482188571828,0.028835597999151308,BIQAE,biqae,1.0,100,0.5922168971541786,0.6136311918526619,0.0,100,100,0.06101441808924771,0.04754174166074343,0.023248716828472463,0.08948236766860732,0.004767293163586709,0.04767293163586709,0.07728350756416272,0.005972740541419996,95.6,100.0,ideal_simulation,0.01382841597531344,0.01303731933269132,0.00046446610664392884,0.0046446610664392885,1.0,100
0.03361226047814895,0.025395400714933958,CABIQAE_latentt,cabiqae_latentt,1.0,100,0.5872199566671318,0.6297775023176081,0.0,100,100,0.06023378547261818,0.044206389555978665,0.02869262132278045,0.07812147976918044,0.005365455013405985,0.053654550134059856,0.08048684088066102,0.006478131554948847,94.5,100.0,ideal_simulation,0.012258533000615014,0.011814109967591701,0.00028900471513875045,0.0028900471513875043,1.0,100
0.04037160935756224,0.03455667509806698,ELF-QAE,elf_qae,3.0,100,0.5963560022594552,0.676923883371928,1.0,100,100,0.07473501786688032,0.05379582698334705,0.028954213996007547,0.10324589630966896,0.0070903587664351495,0.0709035876643515,0.10277338396590108,0.010562368451802534,99.0,99.0,ideal_simulation,0.29857737301141063,0.3003480727814275,0.003679718137836233,0.03679718137836233,1.0,100
0.03719312768694767,0.03261077574907323,IQAE,iqae,1.0,100,0.5912292950290109,0.6045790325724404,0.0,100,100,0.06551318780056316,0.05601009689961947,0.01975146249181744,0.10081507373496815,0.005000511756190765,0.050005117561907654,0.08226472172412827,0.006767484440348263,93.7,100.0,ideal_simulation,0.011948004299280128,0.011462134597180604,0.00028669830334873583,0.0028669830334873583,1.0,100
0.03868523977712792,0.031667629328396896,BAE,bae,1.0,106,0.5855138569097353,0.591205533142581,0.0,100,100,0.06741769895207077,0.04994260585506455,0.02380060939065163,0.09785914416622063,0.005813181400536672,0.058131814005366725,0.088829391833734,0.00789066085355105,100.0,100.0,ideal_simulation,0.2601626922535363,0.04187077554092668,0.21716327970577468,2.1716327970577467,1.0,100
0.03391482188571828,0.028835597999151308,BIQAE,biqae,1.0,106,0.5922168971541786,0.6136311918526619,0.0,100,100,0.06101441808924771,0.04754174166074343,0.023248716828472463,0.08948236766860732,0.004767293163586709,0.04767293163586709,0.07728350756416272,0.005972740541419996,95.6,100.0,ideal_simulation,0.01382841597531344,0.01303731933269132,0.00046446610664392884,0.0046446610664392885,1.0,100
0.03361226047814895,0.025395400714933958,CABIQAE_latentt,cabiqae_latentt,1.0,106,0.5872199566671318,0.6297775023176081,0.0,100,100,0.06023378547261818,0.044206389555978665,0.02869262132278045,0.07812147976918044,0.005365455013405985,0.053654550134059856,0.08048684088066102,0.006478131554948847,94.5,100.0,ideal_simulation,0.012258533000615014,0.011814109967591701,0.00028900471513875045,0.0028900471513875043,1.0,100
0.03987120925059888,0.030429364072647513,ELF-QAE,elf_qae,3.0,106,0.5972776706692301,0.6769238833719291,1.0,100,100,0.07372910436417526,0.053795826832802006,0.02723893152128508,0.10324589630967479,0.007082198501305871,0.07082198501305871,0.10198812115105099,0.010401576855921454,105.0,105.0,ideal_simulation,0.3166729713757385,0.3185509862833322,0.003902731358311157,0.039027313583111574,1.0,100
0.03719312768694767,0.03261077574907323,IQAE,iqae,1.0,106,0.5912292950290109,0.6045790325724404,0.0,100,100,0.06551318780056316,0.05601009689961947,0.01975146249181744,0.10081507373496815,0.005000511756190765,0.050005117561907654,0.08226472172412827,0.006767484440348263,93.7,100.0,ideal_simulation,0.011948004299280128,0.011462134597180604,0.00028669830334873583,0.0028669830334873583,1.0,100
0.03868523977712792,0.031667629328396896,BAE,bae,1.0,112,0.5855138569097353,0.591205533142581,0.0,100,100,0.06741769895207077,0.04994260585506455,0.02380060939065163,0.09785914416622063,0.005813181400536672,0.058131814005366725,0.088829391833734,0.00789066085355105,100.0,100.0,ideal_simulation,0.2601626922535363,0.04187077554092668,0.21716327970577468,2.1716327970577467,1.0,100
0.03455142936936688,0.03098110077210453,BIQAE,biqae,1.0,112,0.5885329440352237,0.6130481281396478,0.0,100,100,0.06232225385038672,0.04992659836979741,0.020246237047684603,0.09334590682712908,0.004635842201928398,0.04635842201928398,0.07753499586760096,0.006011675584188897,104.0,110.0,ideal_simulation,0.01501342361876547,0.014286007509441999,0.0004767451739985636,0.004767451739985636,1.0,100
0.032249749223625085,0.024442012828591764,CABIQAE_latentt,cabiqae_latentt,3.0,112,0.588291895336135,0.6297775023176081,1.0,100,100,0.05756232821074594,0.04474260745664328,0.026121805150896925,0.07693032099780357,0.004491184361460455,0.04491184361460455,0.07287197396074645,0.0053103245889357074,100.9,100.0,ideal_simulation,0.013072371339170951,0.012540982056874586,0.00030691877511370997,0.0030691877511370997,1.0,100
0.03904343236621357,0.03152920869896875,ELF-QAE,elf_qae,3.0,112,0.5969995749714531,0.6769238833719293,1.0,100,100,0.07214908699943083,0.05379582681250769,0.028796512723308552,0.09558453468581857,0.007094888171513619,0.07094888171513619,0.10094006703640306,0.010188897133313543,111.0,111.0,ideal_simulation,0.33476856974006636,0.3367538997852369,0.00412574457878608,0.041257445787860794,1.0,100
0.03270283153957978,0.027955992410176156,IQAE,iqae,2.0,112,0.5895984395171276,0.6045790325724404,0.5,100,100,0.056524903688476326,0.0463530954275595,0.018185031704291973,0.07761932793359926,0.004434759545171213,0.04434759545171213,0.07170848532159046,0.005142106867116756,103.6,110.0,ideal_simulation,0.013236659522082026,0.012672348238056972,0.0003259792323842928,0.003259792323842928,1.0,100
0.03868523977712792,0.031667629328396896,BAE,bae,1.0,119,0.5855138569097353,0.591205533142581,0.0,100,100,0.06741769895207077,0.04994260585506455,0.02380060939065163,0.09785914416622063,0.005813181400536672,0.058131814005366725,0.088829391833734,0.00789066085355105,100.0,100.0,ideal_simulation,0.2601626922535363,0.04187077554092668,0.21716327970577468,2.1716327970577467,1.0,100
0.03455142936936688,0.03098110077210453,BIQAE,biqae,1.0,119,0.5885329440352237,0.6130481281396478,0.0,100,100,0.06232225385038672,0.04992659836979741,0.020246237047684603,0.09334590682712908,0.004635842201928398,0.04635842201928398,0.07753499586760096,0.006011675584188897,104.0,110.0,ideal_simulation,0.01501342361876547,0.014286007509441999,0.0004767451739985636,0.004767451739985636,1.0,100
0.032249749223625085,0.024442012828591764,CABIQAE_latentt,cabiqae_latentt,3.0,119,0.588291895336135,0.6297775023176081,1.0,100,100,0.05756232821074594,0.04474260745664328,0.026121805150896925,0.07693032099780357,0.004491184361460455,0.04491184361460455,0.07287197396074645,0.0053103245889357074,100.9,100.0,ideal_simulation,0.013072371339170951,0.012540982056874586,0.00030691877511370997,0.0030691877511370997,1.0,100
