series,algorithm,algorithm_key,plot_label,budget,x,y,ci_low,ci_high,n_points,n_runs,source_file
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,9745,7917.5,0.0006461498431479,0.0004868195345115,0.0007575632416882,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,16547,13274.8,0.0003327498116668,0.0002382790786127,0.000421439362539,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,28094,22644.1,0.0001934175697591,0.0001530269487714,0.0002443135162183,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,47701,38085.8,0.0001108383934788,8.888322332579511e-05,0.0001426036639688,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
CABIQAE,CABIQAE,cabiqae_latentt,CABIQAE,80990,53427.1,8.017137327993387e-05,5.9703412876784445e-05,9.801014202692929e-05,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,141,140.0,0.0492409884160836,0.04040652947041,0.0572368745715201,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,240,240.0,0.0397541996537392,0.0270362622229098,0.0485620983932314,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,407,400.0,0.0246217777158867,0.019763528334047,0.0304010372707039,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,691,690.0,0.0242568326209147,0.0188558149955824,0.0270595710369212,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,1173,1170.0,0.0138583705094471,0.010507771092657,0.017869756443725,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,1991,1990.0,0.0118343384338473,0.0087640314270607,0.0153078049932458,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,3381,3380.0,0.0094651897847486,0.0079934890687447,0.0123765848327292,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,5740,5730.0,0.0067726068228116,0.0051283851926913,0.008430394025354,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,9745,9740.0,0.0060367065709614,0.0053257639704912,0.0069175765605304,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,16547,16540.0,0.0040671404735636,0.003315197556035,0.0052841228258683,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,28094,28000.0,0.0029124751909377,0.002428715093268,0.0035288801654309,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,47701,47660.0,0.0022080856225529,0.0017407698225387,0.0026360728270337,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
DCS,Classical MC,classical_mc,DCS,80990,80990.0,0.001907215629211,0.0016280689829703,0.0024277600510311,100,100,bae_biqae_cabiqae_latentt_ideal_rmse_summary.csv
