series,algorithm,algorithm_key,budget,x,y,ci_low,ci_high,n_points,n_runs,source_file
BIQAE,BIQAE,biqae,128,128.0,0.2700046330819736,0.2133255127951092,0.2700046330819736,300,300,budget_summary.csv
BIQAE,BIQAE,biqae,256,150.18666666666667,0.2133255127951092,0.1657611899656277,0.2133255127951092,300,300,budget_summary.csv
BIQAE,BIQAE,biqae,512,339.62666666666667,0.6324202450420336,0.5533647558665545,0.6646500837350291,300,300,budget_summary.csv
BIQAE,BIQAE,biqae,768,564.48,0.7172271000669367,0.7081780819786496,0.7276857966684939,300,300,budget_summary.csv
BIQAE,BIQAE,biqae,1024,634.88,0.7440464730915312,0.7275965817908125,0.7867780129710329,300,300,budget_summary.csv
BIQAE,BIQAE,biqae,1536,671.5733333333334,0.7440464730915312,0.7276411892296533,0.7869303603846508,300,300,budget_summary.csv
BIQAE,BIQAE,biqae,2048,737.28,0.7440464730915312,0.7276411892296533,0.7867780129710329,300,300,budget_summary.csv
BIQAE,BIQAE,biqae,3072,1595.7333333333331,0.7425934775285985,0.7378552433775627,0.7857952954658263,300,300,budget_summary.csv
BIQAE,BIQAE,biqae,4096,2377.813333333333,0.7470245335977472,0.7401543534375423,0.806023618132318,300,300,budget_summary.csv
BIQAE,BIQAE,biqae,6144,3277.2266666666665,0.7470245335977472,0.7407178639628693,0.8073565515105465,300,300,budget_summary.csv
BIQAE,BIQAE,biqae,8192,3412.48,0.7470245335977472,0.7401543534375423,0.7912096126393039,300,300,budget_summary.csv
BIQAE,BIQAE,biqae,10000,3447.2627986348125,0.7520894903751714,0.7413485484037622,0.8285872332933523,293,293,budget_summary.csv
BIQAE,BIQAE,biqae,15000,4097.92,0.8486846954287544,0.8429781250994521,0.8534236055904537,200,200,budget_summary.csv
BIQAE,BIQAE,biqae,20000,4632.576,0.859734078815449,0.8554325127156412,0.8622117151179478,125,125,budget_summary.csv
BIQAE,BIQAE,biqae,30000,5760.0,0.8560814788527985,0.8401265572644909,0.8922089495396548,27,27,budget_summary.csv
BIQAE,BIQAE,biqae,75000,14592.0,0.8922089495396548,0.8922089495396548,0.8922089495396548,1,1,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,128,128.0,0.2858890494419595,0.2706778238353946,0.387252712115731,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,256,241.4933333333333,0.3001013117198002,0.2670416097049433,0.3001013117198002,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,512,412.5866666666666,0.1911972836590206,0.1662188108689752,0.2558652292841333,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,768,569.1733333333333,0.2378488922123404,0.2210812564673606,0.2558652292841333,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,1024,857.6,0.2687108516632159,0.2505034507648033,0.2875379559999122,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,1536,1309.44,0.2730006932126825,0.260833338759399,0.2870015454963723,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,2048,1858.1333333333332,0.2799497244476221,0.2654924594946102,0.2905991597127977,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,3072,2945.7066666666665,0.2771867570650104,0.2573508002195611,0.289301973968173,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,4096,3859.2,0.2360017535466967,0.2121375878614467,0.265877096563716,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,6144,5987.84,0.1702364782845191,0.1500698821810777,0.1867624904502185,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,8192,8074.666666666667,0.1402504431365786,0.1250516855338007,0.1597855938140818,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,10000,9827.84,0.1236415386574051,0.1025252293255333,0.1405586689696087,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,15000,14749.44,0.0938846719322542,0.0810631925084725,0.1056162092721214,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,20000,19769.17333333333,0.0820778647095245,0.072007595181778,0.095307295088651,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,30000,29825.706666666665,0.0649871525436863,0.0562222205668095,0.0746117839249539,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,50000,49765.973333333335,0.0461116261772371,0.0395674905146464,0.0576213656667038,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,75000,74725.97333333333,0.0511105358231924,0.0477439719849381,0.060617866467739,300,300,budget_summary.csv
CABIQAE,CABIQAE,cabiqae,100000,99775.7785467128,0.0514509552580772,0.0459603176123666,0.0626212471619447,289,289,budget_summary.csv
DCS,DCS,classical_mc,128,128.0,0.3523241928964912,0.3523241928964912,0.411120896935469,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,256,256.0,0.411120896935469,0.3817225449159801,0.440519248954958,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,512,512.0,0.411120896935469,0.3964217209257245,0.440519248954958,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,768,768.0,0.4209203476086321,0.4062211715988875,0.4307197982817949,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,1024,1024.0,0.4184704849403414,0.4037713089305967,0.4331696609500858,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,1536,1536.0,0.4209203476086321,0.4062211715988877,0.4356195236183766,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,2048,2048.0,0.4258200729452136,0.4147956909379053,0.4368444549525219,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,3072,3072.0,0.4282699356135043,0.4221452789427774,0.4331696609500858,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,4096,4096.0,0.4276574699464315,0.4221452789427775,0.4331696609500858,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,6144,6144.0,0.4233702102769227,0.4160206222720504,0.4307197982817949,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,8192,8192.0,0.4239826759439954,0.4189298341906459,0.4276574699464315,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,10000,10000.0,0.4224098641109527,0.4171416794290603,0.4280543476986946,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,15000,15000.0,0.420653802550322,0.4153856178684296,0.4241659256715836,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,20000,20000.0,0.4210928179404797,0.4178942772407594,0.4252321059048237,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,30000,30000.0,0.4217826992678705,0.4188977409896912,0.4240404927029672,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,50000,50000.0,0.4218077858615937,0.4204531098005356,0.4234635010473314,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,75000,75000.0,0.4205032829879823,0.4196001656139435,0.4221088249862732,300,300,montecarlo_budget_summary.csv
DCS,DCS,classical_mc,100000,100000.0,0.4205659994722904,0.4188726543959679,0.4227861630168022,300,300,montecarlo_budget_summary.csv
