amplification_factor,contrast_baseline,contrast_mitigated,contrast_mitigated_se,contrast_relative_se,contrast_signal_z,grover_power,p_hw_mitigated,p_hw_mitigated_se,p_ideal,p_raw,p_raw_se,shots,signal_z_from_baseline,signal_z_from_half,used_in_fit,visible_by_contrast
1,0.09401,-0.8061873284717039,0.094306779220019,,,0,0.12604615774790767,0.003747549420699771,0.05427214179198414,0.121337890625,0.0036075652748582022,8192,8.54856178038758,99.78623368821773,False,False
3,0.09401,0.2819927335654392,0.013486046226650074,0.047824091266949274,20.909963441189095,1,0.18602586862794826,0.004400575299270612,0.4203158145666547,0.1790771484375,0.004236198341070318,8192,20.909963441189095,71.34842833483441,True,True
5,0.09401,0.061854449446808325,0.005185667887403729,0.08383661860676878,11.927961988668068,2,0.14088257671823484,0.003929638337443165,0.851798277762344,0.1356201171875,0.0037828525304048825,8192,11.927961988668066,91.38688918518298,True,True
7,0.09401,0.039243148105583193,0.004208720546995861,0.10724727118406381,9.324246565525604,3,0.12934313974131373,0.003789382819621096,0.9943745590881334,0.12451171875,0.0036478360492592727,8192,9.324246565525604,97.81457242574099,True,True
9,0.09401,0.010678381007653026,0.005334039184486495,0.49951759359997305,2.001931489125539,4,0.10081156479837687,0.003397501280799502,0.7309571920417806,0.0970458984375,0.0032705926636212,8192,2.0019314891255395,117.49471220440154,True,False
