a_true,algorithm,algorithm_key,amplification_factor_max,backend_mode,backend_name,channel,ci_high,ci_low,circuit_prepare_wall_seconds,construct_circuit_cache_hits,construct_circuit_cache_misses,construct_circuit_cache_size,construct_circuit_mode,construct_circuit_wall_seconds,coverage,cva_abs_error,cva_ci_high,cva_ci_low,cva_estimate,cva_relative_error,cva_true,epsilon_target,execution_max_grover_power,extrapolated_replay_ks_json,final_abs_error,final_estimate,final_normalized_abs_error,final_queries,hardware_executor,hardware_mode,instance_name,k_max,n_extrapolated_replay_ks,processed_abs_error,processed_ci_high,processed_ci_low,processed_estimate,processed_relative_error,processed_true_value,repetition,run_kind,runtime_wall_seconds,target_name
0.05427214179198413,CABIQAE,cabiqae,7,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.1056957376555612,0.049515566048790434,0.4804863998433575,7,3,3,full,0.4804863998433575,1.0,1.064461899627887e-05,4.8217814378196114e-05,2.2588728983114922e-05,3.540327168065552e-05,0.4299353091614675,2.4758652684376647e-05,0.03,3,,0.023333510060191687,0.07760565185217581,0.4299353091614673,6656.0,runtime,hardware,premium_new_usa,3,,1.064461899627887e-05,4.8217814378196114e-05,2.2588728983114922e-05,3.540327168065552e-05,0.4299353091614675,2.4758652684376647e-05,0,hardware_replay,0.17762120009865612,cva
0.05427214179198413,BIQAE,biqae,83,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.037475386947099856,0.03647815158171313,6.248321500024758,0,4,4,full,6.248321500024758,0.0,7.890053853014693e-06,1.7096065476688213e-05,1.6641132186035696e-05,1.6868598831361954e-05,0.3186786435270576,2.4758652684376647e-05,0.002,3,"[7, 41]",0.017295372527577638,0.03697676926440649,0.31867864352705766,13056.0,runtime,hardware,premium_new_usa,41,2,7.890053853014693e-06,1.7096065476688213e-05,1.6641132186035696e-05,1.6868598831361954e-05,0.3186786435270576,2.4758652684376647e-05,0,hardware_replay,0.166746300063096,cva
0.05427214179198413,CABIQAE,cabiqae,7,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.10822418495688632,0.049515566048790434,0.4778303998755291,33,3,3,full,0.4778303998755291,1.0,1.122135087470921e-05,4.93712781350568e-05,2.2588728983114922e-05,3.598000355908586e-05,0.45322946356407245,2.4758652684376647e-05,0.03,3,,0.024597733710854247,0.07886987550283837,0.4532294635640725,30208.0,runtime,hardware,premium_new_usa,3,,1.122135087470921e-05,4.93712781350568e-05,2.2588728983114922e-05,3.598000355908586e-05,0.45322946356407245,2.4758652684376647e-05,1,hardware_replay,0.4427494000410661,cva
0.05427214179198413,BIQAE,biqae,83,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.049588516425834256,0.0484457409765236,5.900687800021842,0,4,4,full,5.900687800021842,0.0,2.397308078715165e-06,2.2622008544023814e-05,2.2100680667299148e-05,2.2361344605661482e-05,0.09682708139558534,2.4758652684376647e-05,0.002,3,"[6, 41]",0.0052550130908051995,0.04901712870117893,0.09682708139558541,12800.0,runtime,hardware,premium_new_usa,41,2,2.397308078715165e-06,2.2622008544023814e-05,2.2100680667299148e-05,2.2361344605661482e-05,0.09682708139558534,2.4758652684376647e-05,1,hardware_replay,0.19875460001640022,cva
0.05427214179198413,CABIQAE,cabiqae,9,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.08923668878649768,0.030153689607045803,0.5893594999797642,60,3,3,full,0.5893594999797642,1.0,2.4739644088613758e-06,4.070928677988943e-05,1.375594740658661e-05,2.7232617093238023e-05,0.09992322443387687,2.4758652684376647e-05,0.03,3,,0.0054230474047876134,0.05969518919677174,0.09992322443387677,70016.0,runtime,hardware,premium_new_usa,4,,2.4739644088613758e-06,4.070928677988943e-05,1.375594740658661e-05,2.7232617093238023e-05,0.09992322443387687,2.4758652684376647e-05,2,hardware_replay,0.7932301999535412,cva
0.05427214179198413,BIQAE,biqae,97,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.036209577243777304,0.03536523853358184,7.18028069997672,0,4,4,full,7.18028069997672,0.0,8.432633973229972e-06,1.6518610049754873e-05,1.6133427372538484e-05,1.6326018711146675e-05,0.3405934111491932,2.4758652684376647e-05,0.002,3,"[7, 48]",0.01848473390330456,0.03578740788867957,0.34059341114919317,14848.0,runtime,hardware,premium_new_usa,48,2,8.432633973229972e-06,1.6518610049754873e-05,1.6133427372538484e-05,1.6326018711146675e-05,0.3405934111491932,2.4758652684376647e-05,2,hardware_replay,0.18704540003091097,cva
0.05427214179198413,CABIQAE,cabiqae,7,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.10686180336069814,0.049515566048790434,0.48019369994290173,4,3,3,full,0.48019369994290173,1.0,1.0910595377967497e-05,4.8749767141573366e-05,2.2588728983114922e-05,3.5669248062344144e-05,0.44067807392654956,2.4758652684376647e-05,0.03,3,,0.023916542912760158,0.07818868470474429,0.4406780739265495,4992.0,runtime,hardware,premium_new_usa,3,,1.0910595377967497e-05,4.8749767141573366e-05,2.2588728983114922e-05,3.5669248062344144e-05,0.44067807392654956,2.4758652684376647e-05,3,hardware_replay,0.15426780004054308,cva
0.05427214179198413,BIQAE,biqae,89,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.03279394128399084,0.03191883577723526,6.356343799852766,0,4,4,full,6.356343799852766,0.0,9.997846139820534e-06,1.4960415704878092e-05,1.4561197384234132e-05,1.4760806544556114e-05,0.4038122052630689,2.4758652684376647e-05,0.002,3,"[7, 44]",0.021915753261371074,0.03235638853061305,0.4038122052630689,13824.0,runtime,hardware,premium_new_usa,44,2,9.997846139820534e-06,1.4960415704878092e-05,1.4561197384234132e-05,1.4760806544556114e-05,0.4038122052630689,2.4758652684376647e-05,3,hardware_replay,0.17026470019482076,cva
0.05427214179198413,CABIQAE,cabiqae,3,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.08886458954768875,0.031575015725432816,0.12333329976536334,2,2,2,full,0.12333329976536334,1.0,2.7132901756438344e-06,4.05395371530348e-05,1.4404348567006167e-05,2.747194286002048e-05,0.10958957299627176,2.4758652684376647e-05,0.03,3,,0.005947660844576652,0.06021980263656078,0.1095895729962717,1280.0,runtime,hardware,premium_new_usa,1,,2.7132901756438344e-06,4.05395371530348e-05,1.4404348567006167e-05,2.747194286002048e-05,0.10958957299627176,2.4758652684376647e-05,4,hardware_replay,0.06701370025984943,cva
0.05427214179198413,BIQAE,biqae,21,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.02914293773714866,0.025714529033271493,1.3340415997663513,0,3,3,full,1.3340415997663513,0.0,1.2245815323734945e-05,1.3294847960893392e-05,1.1730826760390012e-05,1.2512837360641702e-05,0.494607500652181,2.4758652684376647e-05,0.002,3,[10],0.02684340840677405,0.027428733385210076,0.49460750065218106,3200.0,runtime,hardware,premium_new_usa,10,1,1.2245815323734945e-05,1.3294847960893392e-05,1.1730826760390012e-05,1.2512837360641702e-05,0.494607500652181,2.4758652684376647e-05,4,hardware_replay,0.059112800168804824,cva
0.05427214179198413,CABIQAE,cabiqae,13,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.21596762663442212,0.15674828626466564,1.0035824996884912,650,3,3,full,1.0035824996884912,0.0,6.025682240759622e-05,9.852324382931463e-05,7.15077063546311e-05,8.501547509197287e-05,2.4337682335040727,2.4758652684376647e-05,0.03,3,[6],0.13208581465755975,0.1863579564495439,2.4337682335040722,1069184.0,runtime,hardware,premium_new_usa,6,1,6.025682240759622e-05,9.852324382931463e-05,7.15077063546311e-05,8.501547509197287e-05,2.4337682335040727,2.4758652684376647e-05,5,hardware_replay,10.839919800288044,cva
0.05427214179198413,BIQAE,biqae,97,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.036443784146614894,0.035598989255809566,6.875491200131364,0,4,4,full,6.875491200131364,0.0,8.325894125423656e-06,1.6625453951104203e-05,1.624006316680178e-05,1.643275855895299e-05,0.33628219724078573,2.4758652684376647e-05,0.002,3,"[7, 48]",0.018250755090771897,0.03602138670121223,0.33628219724078573,14848.0,runtime,hardware,premium_new_usa,48,2,8.325894125423656e-06,1.6625453951104203e-05,1.624006316680178e-05,1.643275855895299e-05,0.33628219724078573,2.4758652684376647e-05,5,hardware_replay,0.19028769992291927,cva
0.05427214179198413,CABIQAE,cabiqae,9,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.09926595064695778,0.039949599781506265,0.5875412996392697,124,3,3,full,0.5875412996392697,1.0,6.996031648274359e-06,4.5284580897367435e-05,1.8224787767934568e-05,3.1754684332651006e-05,0.2825691582437778,2.4758652684376647e-05,0.03,3,,0.015335633422247905,0.06960777521423203,0.2825691582437777,142976.0,runtime,hardware,premium_new_usa,4,,6.996031648274359e-06,4.5284580897367435e-05,1.8224787767934568e-05,3.1754684332651006e-05,0.2825691582437778,2.4758652684376647e-05,6,hardware_replay,1.506902000401169,cva
0.05427214179198413,BIQAE,biqae,109,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.029003627198984316,0.028331722003014304,7.784774900181219,0,4,4,full,7.784774900181219,0.0,1.168061715308498e-05,1.3231295259345245e-05,1.2924775803238088e-05,1.3078035531291667e-05,0.4717791917835559,2.4758652684376647e-05,0.002,3,"[8, 54]",0.025604467190984817,0.02866767460099931,0.4717791917835559,16640.0,runtime,hardware,premium_new_usa,54,2,1.168061715308498e-05,1.3231295259345245e-05,1.2924775803238088e-05,1.3078035531291667e-05,0.4717791917835559,2.4758652684376647e-05,6,hardware_replay,0.2064115998800844,cva
0.05427214179198413,CABIQAE,cabiqae,9,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.08879049299531472,0.030153689607045803,0.5972899002954364,73,3,3,full,0.5972899002954364,1.0,2.3721883755377607e-06,4.050573471324221e-05,1.375594740658661e-05,2.7130841059914408e-05,0.09581249859507392,2.4758652684376647e-05,0.03,3,,0.005199949509196132,0.05947209130118026,0.09581249859507393,84992.0,runtime,hardware,premium_new_usa,4,,2.3721883755377607e-06,4.050573471324221e-05,1.375594740658661e-05,2.7130841059914408e-05,0.09581249859507392,2.4758652684376647e-05,7,hardware_replay,0.9220879996428266,cva
0.05427214179198413,BIQAE,biqae,97,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.03653340888342376,0.035688366155075625,7.4488387000747025,0,4,4,full,7.4488387000747025,0.0,8.285064344331722e-06,1.6666340263258317e-05,1.6280836416831534e-05,1.6473588340044926e-05,0.33463308565089295,2.4758652684376647e-05,0.002,3,"[7, 48]",0.018161254272734434,0.03611088751924969,0.334633085650893,14848.0,runtime,hardware,premium_new_usa,48,2,8.285064344331722e-06,1.6666340263258317e-05,1.6280836416831534e-05,1.6473588340044926e-05,0.33463308565089295,2.4758652684376647e-05,7,hardware_replay,0.19495669996831566,cva
0.05427214179198413,CABIQAE,cabiqae,7,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.10626499305036402,0.049515566048790434,0.5133849997073412,18,3,3,full,0.5133849997073412,1.0,1.0774464586882707e-05,4.8477505559403786e-05,2.2588728983114922e-05,3.5533117271259354e-05,0.4351797621718598,2.4758652684376647e-05,0.03,3,,0.023618137757593097,0.07789027954957722,0.43517976217185966,16768.0,runtime,hardware,premium_new_usa,3,,1.0774464586882707e-05,4.8477505559403786e-05,2.2588728983114922e-05,3.5533117271259354e-05,0.4351797621718598,2.4758652684376647e-05,8,hardware_replay,0.268515900359489,cva
0.05427214179198413,BIQAE,biqae,101,ibm_runtime_backend,ibm_pittsburgh,ibm_cloud,0.025363982063480988,0.024684594811057965,7.800017700064927,0,4,4,full,7.800017700064927,0.0,1.334270988877601e-05,1.1570909160162086e-05,1.1260976431039187e-05,1.1415942795600638e-05,0.5389109843281418,2.4758652684376647e-05,0.002,3,"[8, 50]",0.02924785335471465,0.025024288437269476,0.5389109843281419,15616.0,runtime,hardware,premium_new_usa,50,2,1.334270988877601e-05,1.1570909160162086e-05,1.1260976431039187e-05,1.1415942795600638e-05,0.5389109843281418,2.4758652684376647e-05,8,hardware_replay,0.2032484000083059,cva
