a_true,abs_error,algorithm,algorithm_key,amplification_factor,budget,cva_abs_error,cva_estimate,cva_relative_error,cva_true,estimate,grover_power,k_max_budget,normalized_abs_error,normalized_sq_error,processed_abs_error,processed_estimate,processed_relative_error,processed_true_value,query_budget_actual,repetition,replay_probability_extrapolated,replay_probability_source,run_kind,runtime_wall_seconds,target_name,time_to_budget_seconds
0.05427214179198413,0.07186306239863398,CABIQAE,cabiqae,1,128,3.2783533946070546e-05,5.754218663044719e-05,1.324124311770721,2.4758652684376647e-05,0.1261352041906181,0,0,1.3241243117707213,1.7533051930222865,3.2783533946070546e-05,5.754218663044719e-05,1.324124311770721,2.4758652684376647e-05,128.0,0,,,hardware_replay,0.003415792309589541,cva,0.003415792309589541
0.05427214179198413,0.07186306239863398,CABIQAE,cabiqae,1,256,3.2783533946070546e-05,5.754218663044719e-05,1.324124311770721,2.4758652684376647e-05,0.1261352041906181,0,0,1.3241243117707213,1.7533051930222865,3.2783533946070546e-05,5.754218663044719e-05,1.324124311770721,2.4758652684376647e-05,128.0,0,,,hardware_replay,0.003415792309589541,cva,0.003415792309589541
0.05427214179198413,0.07186306239863398,CABIQAE,cabiqae,1,384,3.2783533946070546e-05,5.754218663044719e-05,1.324124311770721,2.4758652684376647e-05,0.1261352041906181,0,0,1.3241243117707213,1.7533051930222865,3.2783533946070546e-05,5.754218663044719e-05,1.324124311770721,2.4758652684376647e-05,128.0,0,,,hardware_replay,0.003415792309589541,cva,0.003415792309589541
0.05427214179198413,0.0332906747855863,CABIQAE,cabiqae,3,512,1.5187022797147161e-05,3.994567548152381e-05,0.6134026350606132,2.4758652684376647e-05,0.08756281657757042,1,1,0.6134026350606132,0.37626279269930385,1.5187022797147161e-05,3.994567548152381e-05,0.6134026350606132,2.4758652684376647e-05,512.0,0,,,hardware_replay,0.013663169238358164,cva,0.013663169238358164
0.05427214179198413,0.0332906747855863,CABIQAE,cabiqae,3,640,1.5187022797147161e-05,3.994567548152381e-05,0.6134026350606132,2.4758652684376647e-05,0.08756281657757042,1,1,0.6134026350606132,0.37626279269930385,1.5187022797147161e-05,3.994567548152381e-05,0.6134026350606132,2.4758652684376647e-05,512.0,0,,,hardware_replay,0.013663169238358164,cva,0.013663169238358164
0.05427214179198413,0.0332906747855863,CABIQAE,cabiqae,3,768,1.5187022797147161e-05,3.994567548152381e-05,0.6134026350606132,2.4758652684376647e-05,0.08756281657757042,1,1,0.6134026350606132,0.37626279269930385,1.5187022797147161e-05,3.994567548152381e-05,0.6134026350606132,2.4758652684376647e-05,512.0,0,,,hardware_replay,0.013663169238358164,cva,0.013663169238358164
0.05427214179198413,0.03590685148162623,CABIQAE,cabiqae,3,896,1.63805082215197e-05,4.113916090589635e-05,0.6616074158129059,2.4758652684376647e-05,0.09017899327361036,1,1,0.6616074158129058,0.4377243726586313,1.63805082215197e-05,4.113916090589635e-05,0.6616074158129059,2.4758652684376647e-05,896.0,0,,,hardware_replay,0.023910546167126782,cva,0.023910546167126782
0.05427214179198413,0.03590685148162623,CABIQAE,cabiqae,3,1024,1.63805082215197e-05,4.113916090589635e-05,0.6616074158129059,2.4758652684376647e-05,0.09017899327361036,1,1,0.6616074158129058,0.4377243726586313,1.63805082215197e-05,4.113916090589635e-05,0.6616074158129059,2.4758652684376647e-05,896.0,0,,,hardware_replay,0.023910546167126782,cva,0.023910546167126782
0.05427214179198413,0.03303891643113699,CABIQAE,cabiqae,3,1280,1.5072172020074618e-05,3.9830824704451265e-05,0.60876382136842,2.4758652684376647e-05,0.08731105822312112,1,1,0.60876382136842,0.3705933902070816,1.5072172020074618e-05,3.9830824704451265e-05,0.60876382136842,2.4758652684376647e-05,1280.0,0,,,hardware_replay,0.03415792309589541,cva,0.03415792309589541
0.05427214179198413,0.03303891643113699,CABIQAE,cabiqae,3,1536,1.5072172020074618e-05,3.9830824704451265e-05,0.60876382136842,2.4758652684376647e-05,0.08731105822312112,1,1,0.60876382136842,0.3705933902070816,1.5072172020074618e-05,3.9830824704451265e-05,0.60876382136842,2.4758652684376647e-05,1280.0,0,,,hardware_replay,0.03415792309589541,cva,0.03415792309589541
0.05427214179198413,0.03303891643113699,CABIQAE,cabiqae,3,1792,1.5072172020074618e-05,3.9830824704451265e-05,0.60876382136842,2.4758652684376647e-05,0.08731105822312112,1,1,0.60876382136842,0.3705933902070816,1.5072172020074618e-05,3.9830824704451265e-05,0.60876382136842,2.4758652684376647e-05,1280.0,0,,,hardware_replay,0.03415792309589541,cva,0.03415792309589541
0.05427214179198413,0.03303891643113699,CABIQAE,cabiqae,3,2048,1.5072172020074618e-05,3.9830824704451265e-05,0.60876382136842,2.4758652684376647e-05,0.08731105822312112,1,1,0.60876382136842,0.3705933902070816,1.5072172020074618e-05,3.9830824704451265e-05,0.60876382136842,2.4758652684376647e-05,1280.0,0,,,hardware_replay,0.03415792309589541,cva,0.03415792309589541
0.05427214179198413,0.02726873239640315,CABIQAE,cabiqae,7,2560,1.2439845789271425e-05,3.719849847364807e-05,0.5024443756231247,2.4758652684376647e-05,0.08154087418838728,3,3,0.5024443756231246,0.2524503505953115,1.2439845789271425e-05,3.719849847364807e-05,0.5024443756231247,2.4758652684376647e-05,2176.0,0,,,hardware_replay,0.05806846926302219,cva,0.05806846926302219
0.05427214179198413,0.02701615606522198,CABIQAE,cabiqae,7,3072,1.2324621855711238e-05,3.7083274540087885e-05,0.4977904901702666,2.4758652684376647e-05,0.08128829785720611,3,3,0.49779049017026644,0.24779537210395414,1.2324621855711238e-05,3.7083274540087885e-05,0.4977904901702666,2.4758652684376647e-05,3072.0,0,,,hardware_replay,0.08197901543014899,cva,0.08197901543014899
0.05427214179198413,0.02701615606522198,CABIQAE,cabiqae,7,3584,1.2324621855711238e-05,3.7083274540087885e-05,0.4977904901702666,2.4758652684376647e-05,0.08128829785720611,3,3,0.49779049017026644,0.24779537210395414,1.2324621855711238e-05,3.7083274540087885e-05,0.4977904901702666,2.4758652684376647e-05,3072.0,0,,,hardware_replay,0.08197901543014899,cva,0.08197901543014899
