counts_json,good_counts,p_observed_good,prepared_bitstring,prepared_label,shots
"{""000"": 8063, ""001"": 58, ""010"": 42, ""100"": 28, ""101"": 1}",0,0.0,000,bad,8192
"{""001"": 1, ""010"": 2, ""011"": 81, ""100"": 2, ""101"": 33, ""110"": 187, ""111"": 7886}",7886,0.962646484375,111,good,8192
