algorithm,budget,query_budget_actual_mean,query_budget_actual_median,normalized_abs_error_median,normalized_abs_error_median_ci_low,normalized_abs_error_median_ci_high,normalized_abs_error_q25,normalized_abs_error_q75,n_points,n_runs
BAE,1993,256.0,256.0,0.0506717624232222,0.0472616717473697,0.0582640372517003,0.0260619215174301,0.0972524249327477,261,261
BAE,3005,581.639846743295,256.0,0.0462475529325151,0.0362535070751257,0.0506717624232222,0.0155687953921859,0.0829540676960506,261,261
BAE,4530,2718.896551724138,3072.0,0.0134571777506209,0.0102710745827971,0.0152972092763064,0.0056235977524746,0.033722613046188,261,261
BAE,6830,3820.383141762452,3584.0,0.0094977122428789,0.008105235359988,0.010331530335048,0.0039816661166456,0.0195125663425061,261,261
BAE,10296,4979.739463601532,4352.0,0.0074677640102529,0.0064452215193179,0.0090999756947148,0.0035929792137285,0.0150339842629501,261,261
BAE,15522,11441.532567049808,11520.0,0.0040737928263821,0.0035684394656853,0.004807463040499,0.0018560959345376,0.0072027310462424,261,261
BAE,23400,18921.44061302682,19968.0,0.0030922601431062,0.0024654021962501,0.003457265879322,0.0012430410326619,0.0052037871495804,261,261
BAE,35277,30550.31417624521,30976.0,0.0023109632395044,0.0020058412846497,0.0025200718036988,0.0011629007826853,0.0041672928947929,261,261
BAE,53181,47973.02681992337,48384.0,0.0017667198105742,0.001566167741811,0.0020683220593801,0.0008833155078147,0.003270351631294,261,261
BIQAE,386,256.0,256.0,0.0685477629016018,0.0579047477339311,0.0698117712237862,0.0272395196623498,0.1004767881567449,261,261
BIQAE,877,266.7892720306513,256.0,0.0591686997531294,0.0485256341647325,0.0685477629016018,0.0272395196623498,0.0910979328476238,261,261
BIQAE,1322,911.2030651340996,1024.0,0.040523986173212,0.0374086839071383,0.0438074102780229,0.0225639129675231,0.0620417282679442,261,261
BIQAE,1993,955.3409961685824,1024.0,0.040523986173212,0.0374086839071383,0.0437748060249214,0.0225639129675231,0.0620417282679442,261,261
BIQAE,3005,1202.5134099616857,1024.0,0.0357544146322522,0.0321552307638135,0.03939619361804177,0.0171829264760635,0.0521718199145535,261,261
BIQAE,4530,1234.88122605364,1024.0,0.0356728792802226,0.0319362134776095,0.0394460478533192,0.017148407430457,0.0521718199145535,261,261
BIQAE,6830,1570.3295019157088,1024.0,0.0356728792802226,0.0313285834008286,0.0394460478533192,0.0165531903599309,0.0521718199145535,261,261
BIQAE,10296,6458.850574712644,7424.0,0.0190156549795725,0.0173935057631096,0.0201514971988654,0.0073559620480492,0.0262492854290227,261,261
BIQAE,15522,6848.24521072797,7424.0,0.0190156549795725,0.0173935057631096,0.0201514971988654,0.0073559620480492,0.0262492854290227,261,261
BIQAE,23400,8393.072796934866,7424.0,0.0190156549795725,0.0174549972225095,0.0200430100388549,0.0073168365599882,0.0262492854290227,261,261
BIQAE,35277,9170.88122605364,7424.0,0.0190156549795725,0.0173935057631096,0.020130493428885517,0.0073077833653366,0.0258136847741495,261,261
BIQAE,53181,11050.176245210729,7424.0,0.0190156549795725,0.0173935057631096,0.0201299548706809,0.0073077833653366,0.0258136847741495,261,261
BIQAE,80173,55365.639846743295,61440.0,0.0199229582431044,0.0174867027846155,0.0206341788751709,0.0075572941159255,0.0269426869756801,261,261
BIQAE,120864,58650.48275862069,61440.0,0.0199229582431044,0.0174867027846155,0.0206341788751709,0.0075572941159255,0.0269426869756801,261,261
CABIQAE,386,256.0,256.0,0.0492675705034394,0.0490326397803988,0.0599424588263638,0.0271872598643289,0.08203253426867,261,261
CABIQAE,877,276.5977011494253,256.0,0.0492675705034394,0.0383490980494852,0.0601867490337746,0.0271872598643289,0.08203253426867,261,261
CABIQAE,1993,897.471264367816,1024.0,0.0262343121260529,0.0229733793299486,0.029558595490099,0.012850423865054,0.0474036453845574,261,261
CABIQAE,3005,1283.9233716475096,1024.0,0.017422492125146,0.0153167298272135,0.0210018844857667,0.0090620423754096,0.0315774590824439,261,261
CABIQAE,4530,3609.5019157088122,3840.0,0.0060922815520008,0.0051158077074936,0.0077743856611738,0.0029076096517753,0.011521158065156,261,261
CABIQAE,6830,4451.065134099616,3840.0,0.0054625157302998,0.004732348419546,0.0065911792922677,0.0026882116830599,0.0107405648848553,261,261
CABIQAE,10296,8553.931034482759,9472.0,0.0035487844533431,0.003123938602668733,0.0039425596363318,0.0015957670524926,0.0063212004205812,261,261
CABIQAE,15522,12384.122605363984,12800.0,0.0031588914128122,0.0027963366369608,0.0035389558579122,0.0018012124388087,0.0050830299136733,261,261
CABIQAE,23400,20172.996168582376,20736.0,0.0024208579128783,0.0021180816956,0.0028368422312544,0.0010717978634649,0.0044765459256126,261,261
CABIQAE,35277,32023.540229885057,33024.0,0.0021810882392975,0.0017623524965068,0.0024912049694091,0.0010133654597717,0.0041027125562352,261,261
CABIQAE,53181,49473.71647509579,50688.0,0.0018214389373941,0.0016171703532537,0.0021385807483299,0.0009540192495998,0.0037175276656362,261,261
Classical MC,256,256.0,256.0,0.062562853304777,0.0567044057396367,0.0734053313997237,0.0300354190199369,0.1059327656845638,300,300
Classical MC,512,512.0,512.0,0.04586192764469,0.0404406885972166,0.0512831666921633,0.0241769714547966,0.0729681228820567,300,300
Classical MC,1024,1024.0,1024.0,0.0350194495497433,0.0300354190199369,0.03794867333231345,0.0187557324073232,0.0539937862159,300,300
Classical MC,2048,2048.0,2048.0,0.0232588702105952,0.0214663519310599,0.0259694897343318,0.01174965828693115,0.0395225873530152,300,300
Classical MC,4096,4096.0,4096.0,0.0171599762821876,0.0158046665203193,0.0198705958059243,0.0090281177109776,0.02952717785923625,300,300
Classical MC,8192,8192.0,8192.0,0.0151270116393851,0.0127552195561155,0.0168211488417206,0.0080116353895764,0.02368240451117898,300,300
Classical MC,16384,16384.0,16384.0,0.0158046665203193,0.014955480247648681,0.01690585570183735,0.008943410850860825,0.023640051081120602,300,300
Classical MC,32768,32768.0,32768.0,0.01622820082090315,0.0148728910590348,0.0172870365723628,0.0101928370375832,0.020823547982238,300,300
Classical MC,65536,65536.0,65536.0,0.0156352528000858,0.0148728910590348,0.0163976145411367,0.0120669763176668,0.0194152964327967,300,300
