abs_error_mean,abs_error_median,abs_error_se,abs_error_std,algorithm,amplification_factor_median,budget,estimate_mean,estimate_se,estimate_std,grover_power_max_median,mae_ci_high,mae_ci_low,n_points,n_runs,normalized_abs_error_ci_high,normalized_abs_error_ci_low,normalized_abs_error_mean,normalized_abs_error_median,normalized_abs_error_median_ci_high,normalized_abs_error_median_ci_low,normalized_abs_error_q25,normalized_abs_error_q75,normalized_abs_error_se,normalized_abs_error_std,query_budget_actual_mean,query_budget_actual_median,replay_extrapolated_fraction,run_kind,runtime_wall_seconds_ci_high,runtime_wall_seconds_ci_low,runtime_wall_seconds_mean,runtime_wall_seconds_median,runtime_wall_seconds_median_ci_high,runtime_wall_seconds_median_ci_low,runtime_wall_seconds_q25,runtime_wall_seconds_q75,runtime_wall_seconds_se,runtime_wall_seconds_std,success_rate,total_repetitions
0.023361747703686615,0.018255657999250496,0.0011134224710700285,0.017987890520037155,BAE,1.0,256,0.3607891839907388,0.0018269658586044383,0.029515536736778678,0.0,0.025483497560046732,0.021047562825490855,261,261,0.07073389160382322,0.05842118115517419,0.06484460486064475,0.05067176242322229,0.057723853811867495,0.04656213627439497,0.02606192151743013,0.09725242493274776,0.0030904982407675423,0.04992852708807739,256.0,256.0,0.0,hardware_replay,1.1649641133565183,0.27645954797271005,0.6505161291168613,0.24829211474281568,0.2641400180757498,0.21413333928901399,0.13570714913641108,0.36262705541829343,0.23414358670488097,3.7827054088181136,0.87,300
0.02572318455468401,0.024695894839684096,0.0011165629093376286,0.018038625852950133,BIQAE,1.0,256,0.3704097213845523,0.0018429391935353586,0.02977359386014637,0.0,0.027990002570795158,0.02345976595003688,261,261,0.0776911333763452,0.06511667159701798,0.0713991846570068,0.06854776290160183,0.0698117712237862,0.05790474773393116,0.027239519662349842,0.10047678815674499,0.0030992150748475394,0.050069351852429084,256.0,256.0,0.0,hardware_replay,0.006876048466404549,0.006702484599177714,0.006784935752212628,0.006676534615242138,0.00671723913030186,0.0065997574471782705,0.00636454406825794,0.007012429130871011,4.283822341596961e-05,0.0006920726794195343,0.87,300
0.022128764939149063,0.01774976583708804,0.0010035324572449703,0.016212563014718476,CABIQAE,1.0,256,0.3643037723283408,0.0016816585962253067,0.0271680260700232,0.0,0.02408304118394844,0.020079765624371686,261,261,0.06684668070314505,0.05573489124708194,0.061422246174962766,0.04926757050343947,0.0599424588263638,0.04903263978039881,0.02718725986432892,0.08203253426867008,0.0027854793434231376,0.045000795993607214,256.0,256.0,0.0,hardware_replay,0.006577276013744964,0.006434865509951307,0.006504890811192006,0.006363320754696,0.006450043879901048,0.00630388152933899,0.006112660774645412,0.006769914815125253,3.660422388488525e-05,0.0005913593347720688,0.87,300
0.023361747703686615,0.018255657999250496,0.0011134224710700285,0.017987890520037155,BAE,1.0,512,0.3607891839907388,0.0018269658586044383,0.029515536736778678,0.0,0.025483497560046732,0.021047562825490855,261,261,0.07073389160382322,0.05842118115517419,0.06484460486064475,0.05067176242322229,0.057723853811867495,0.04656213627439497,0.02606192151743013,0.09725242493274776,0.0030904982407675423,0.04992852708807739,256.0,256.0,0.0,hardware_replay,1.1649641133565183,0.27645954797271005,0.6505161291168613,0.24829211474281568,0.2641400180757498,0.21413333928901399,0.13570714913641108,0.36262705541829343,0.23414358670488097,3.7827054088181136,0.87,300
0.0249367829189269,0.021316873447812856,0.001116098156292797,0.018031117537727022,BIQAE,1.0,512,0.37130300215042955,0.0017802910576884567,0.028761482250960417,0.0,0.02713608569553661,0.022780243053835372,261,261,0.07532093817253178,0.0632305372950456,0.06921638977456794,0.05916869975312945,0.06854776290160183,0.04852563416473251,0.027239519662349842,0.0910979328476238,0.0030979250717222536,0.050048511214134936,266.7892720306513,256.0,0.0,hardware_replay,0.007259803565094374,0.006894653227580891,0.007061539090990226,0.006694419911147746,0.006741145322860877,0.006633037726648829,0.006381813739781901,0.0070744213040756145,9.060579344716946e-05,0.0014637813905825849,0.87,300
0.021525578517817123,0.01774976583708804,0.0010008895798954485,0.01616986602444182,CABIQAE,1.0,512,0.3649771479869886,0.0016427960194477615,0.026540181927692204,0.0,0.02345350925831514,0.019538863008740567,261,261,0.06509930505802537,0.05423352170814312,0.0597479970714848,0.04926757050343947,0.04926757050343947,0.03834909804948529,0.02718725986432892,0.08203253426867008,0.002778143576442063,0.04488228305106775,276.5977011494253,256.0,0.0,hardware_replay,0.00726748362542475,0.0068074452787774565,0.007034474908531058,0.006420386421981208,0.00650316432064164,0.006329264397932831,0.006133921445501503,0.0068553114653962435,0.00012019926129636155,0.0019418784953301918,0.87,300
0.023361747703686615,0.018255657999250496,0.0011134224710700285,0.017987890520037155,BAE,1.0,1024,0.3607891839907388,0.0018269658586044383,0.029515536736778678,0.0,0.025483497560046732,0.021047562825490855,261,261,0.07073389160382322,0.05842118115517419,0.06484460486064475,0.05067176242322229,0.057723853811867495,0.04656213627439497,0.02606192151743013,0.09725242493274776,0.0030904982407675423,0.04992852708807739,256.0,256.0,0.0,hardware_replay,1.1649641133565183,0.27645954797271005,0.6505161291168613,0.24829211474281568,0.2641400180757498,0.21413333928901399,0.13570714913641108,0.36262705541829343,0.23414358670488097,3.7827054088181136,0.87,300
0.018057874965997346,0.014577851866316438,0.0009888251957557925,0.01597495993377594,BIQAE,3.0,1024,0.36909169089505295,0.0013902623926430387,0.02246037632863171,1.0,0.0199751817398835,0.01621513800223293,261,261,0.05544460043706015,0.045007943320511584,0.05012278112258885,0.04046337012016996,0.04380741027802297,0.03778020433320993,0.022563912967523195,0.06102458361404269,0.002744656774326673,0.04434128720630192,908.2605363984675,1024.0,0.0,hardware_replay,0.02492879963475386,0.023127120162538744,0.024042315010483605,0.026342028800398112,0.026651388522787173,0.025819079999042593,0.02518745891518833,0.027477863154847893,0.0004602884061214635,0.0074361867773320165,0.87,300
0.013391437572681745,0.009451509225566757,0.0007970135731551009,0.012876148334890111,CABIQAE,3.0,1024,0.3534948384038749,0.0010715727655971742,0.01731178783673308,1.0,0.01493812157847481,0.011907600729503481,261,261,0.041463361534531534,0.03305162241869131,0.03717027034666191,0.026234312126052928,0.02997224355333044,0.023088013593033377,0.012850423865054014,0.047403645384557415,0.002212250165327202,0.0357399952046926,897.471264367816,1024.0,0.0,hardware_replay,0.023651606547033834,0.021934309634290203,0.022799360667068724,0.02491164398843685,0.025255265230169664,0.024631272854213043,0.023762417697570228,0.026640323332200448,0.00043887267981657476,0.007090205130483082,0.87,300
0.022722771479132334,0.017981563084642216,0.0010881033059303403,0.01757884688886833,BAE,1.0,2048,0.36126150014910424,0.0017793459422649812,0.028746213444008878,0.0,0.024769353352631415,0.02049810574325985,261,261,0.0687516598148866,0.056896067202354204,0.06307101491685684,0.04991096418768269,0.05547180553344184,0.046123639845268606,0.0258678340524358,0.09331158657687914,0.003020220482454734,0.04879315515570607,290.3295019157088,256.0,0.0,hardware_replay,1.2102237939531557,0.3123051424553141,0.6941774056921434,0.24829920067548084,0.26651067258821265,0.2146743374763576,0.13635526381963917,0.36398097583894595,0.2349087854975732,3.795067573644718,0.87,300
