a_sampling,a_sampling_repetition,a_true,abs_error,algorithm,algorithm_key,amplification_factor,budget,classical_samples,estimate,grover_power,k_max_budget,noise_bias,normalized_abs_error,normalized_sq_error,objective_ry_offset,query_budget,query_budget_actual,repetition,run_kind,runtime_wall_seconds,sample_model,sampling_grover_power,sampling_probability_se,sampling_probability_shots,sampling_probability_source,step_index,successes,time_to_budget_seconds
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.010820944669587107,Classical MC,classical_mc,1,256,256,0.37109375,0,0,0.0057170837759145665,0.0300354190199369,0.0009021263957031873,0.3,256.0,256.0,0,hardware_classical_monte_carlo,1.6400008462369442e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,0,95,1.6400008462369442e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.020586569669587107,Classical MC,classical_mc,1,512,512,0.380859375,0,0,0.0057170837759145665,0.05714161425730366,0.0032651640799304885,0.3,512.0,512.0,0,hardware_classical_monte_carlo,2.609999501146376e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,1,195,2.609999501146376e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.028399069669587107,Classical MC,classical_mc,1,1024,1024,0.388671875,0,0,0.0057170837759145665,0.07882657044719707,0.006213628208466922,0.3,1024.0,1024.0,0,hardware_classical_monte_carlo,3.130000550299883e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,2,398,3.130000550299883e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.017656882169587107,Classical MC,classical_mc,1,2048,2048,0.3779296875,0,0,0.0057170837759145665,0.04900975568609363,0.0024019561524105866,0.3,2048.0,2048.0,0,hardware_classical_monte_carlo,3.580001066438854e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,3,774,3.580001066438854e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.004961569669587107,Classical MC,classical_mc,1,4096,4096,0.365234375,0,0,0.0057170837759145665,0.013771701877516841,0.00018965977260320088,0.3,4096.0,4096.0,0,hardware_classical_monte_carlo,4.189999890513718e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,4,1496,4.189999890513718e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.011675436857087107,Classical MC,classical_mc,1,8192,8192,0.3719482421875,0,0,0.0057170837759145665,0.03240721110320649,0.00105022733148779,0.3,8192.0,8192.0,0,hardware_classical_monte_carlo,4.610000178217888e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,5,3047,4.610000178217888e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.007036764982087107,Classical MC,classical_mc,1,16384,16384,0.3673095703125,0,0,0.0057170837759145665,0.019531768365457277,0.0003814899754818776,0.3,16384.0,16384.0,0,hardware_classical_monte_carlo,4.990000161342323e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,6,6018,4.990000161342323e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.008806784513337107,Classical MC,classical_mc,1,32768,32768,0.36907958984375,0,0,0.0057170837759145665,0.024444766252230004,0.0005975465971261629,0.3,32768.0,32768.0,0,hardware_classical_monte_carlo,5.8600009651854634e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,7,12094,5.8600009651854634e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.009432394864899607,Classical MC,classical_mc,1,65536,65536,0.3697052001953125,0,0,0.0057170837759145665,0.02618125688462381,0.0006854582120586618,0.3,65536.0,65536.0,0,hardware_classical_monte_carlo,6.399999256245792e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,8,24229,6.399999256245792e-05
0.36598988910632746,0.36598988910632746,0.3602728053304129,0.06550844466958711,Classical MC,classical_mc,1,256,256,0.42578125,0,0,0.0057170837759145665,0.18183011234919075,0.03306218975691933,0.3,256.0,256.0,1,hardware_classical_monte_carlo,4.4000043999403715e-06,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points,0,109,4.4000043999403715e-06
