a_sampling,a_sampling_repetition,a_true,algorithm,algorithm_key,final_abs_error,final_estimate,final_normalized_abs_error,final_queries,objective_ry_offset,repetition,run_kind,runtime_wall_seconds,sample_model,sampling_grover_power,sampling_probability_se,sampling_probability_shots,sampling_probability_source
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.009432394864899607,0.3697052001953125,0.02618125688462381,65536.0,0.3,0,hardware_classical_monte_carlo,6.399999256245792e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.004854758146149607,0.3651275634765625,0.013475227867108143,65536.0,0.3,1,hardware_classical_monte_carlo,3.589998232200742e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.005053122403962107,0.365325927734375,0.014025822457867156,65536.0,0.3,2,hardware_classical_monte_carlo,3.070000093430281e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.007479269864899607,0.3677520751953125,0.02076001783715046,65536.0,0.3,3,hardware_classical_monte_carlo,3.339999238960445e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.008425314786774607,0.3686981201171875,0.023385930500770365,65536.0,0.3,4,hardware_classical_monte_carlo,2.9999995604157448e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.006258566739899607,0.3665313720703125,0.017371743432479617,65536.0,0.3,5,hardware_classical_monte_carlo,2.929999027401209e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.006899435880524607,0.3671722412109375,0.019150587494931808,65536.0,0.3,6,hardware_classical_monte_carlo,2.8699985705316067e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.005907614591462107,0.366180419921875,0.016397614541136748,65536.0,0.3,7,hardware_classical_monte_carlo,2.9700022423639894e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.007372458341462107,0.367645263671875,0.020463543826741763,65536.0,0.3,8,hardware_classical_monte_carlo,2.9399991035461426e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
0.36598988910632746,0.36598988910632746,0.3602728053304129,Classical MC,classical_mc,0.005465109708649607,0.3657379150390625,0.015169365069443566,65536.0,0.3,9,hardware_classical_monte_carlo,2.8799986466765404e-05,bernoulli_hardware_good_state,0,0.00435376396026357,12288,mitigated_points
