checkpoint_name,checkpoint_file,n_layers,scenario,scenario_label,fit_asymptote,fit_c_over_n,fit_r2_mean,fit_std_coef,fit_r2_std,kl_statevector_exact,fit_asymptote_over_ideal,fit_excess_over_ideal
training_qcbm_heavyhex6_4lay,training_qcbm_heavyhex6_4lay.npz,4,shots_ideal,Finite shots (noiseless),0.38117730363582947,24.37120345850318,1.0,0.1870876461726908,-12652.313951526276,0.37961700870336723,1.0041101818324516,0.0015602949324622362
training_qcbm_heavyhex6_4lay,training_qcbm_heavyhex6_4lay.npz,4,shots_noise,Finite shots + backend noise model,0.430878030283564,29.681838158250553,1.0,0.46994531724442934,0.8299707374788758,0.37961700870336723,1.1350335216941032,0.05126102158019674
training_qcbm_heavyhex6_6lay,training_qcbm_heavyhex6_6lay.npz,6,shots_ideal,Finite shots (noiseless),0.010347662002775239,32.12557244265019,1.0,0.2867690709213434,0.7400570362940049,0.01058930076314725,0.9771808577566369,-0.00024163876037201076
training_qcbm_heavyhex6_6lay,training_qcbm_heavyhex6_6lay.npz,6,shots_noise,Finite shots + backend noise model,0.064046282428135,50.33295674279023,1.0,0.7124671758365572,0.6225471457630827,0.01058930076314725,6.048206945923007,0.053456981664987746
training_qcbm_heavyhex6_8lay,training_qcbm_heavyhex6_8lay.npz,8,shots_ideal,Finite shots (noiseless),-0.004853627887438242,106.46953950347981,1.0,0.8376930414965474,0.676325291829073,0.0005989540195489465,-8.103506661652187,-0.005452581906987188
training_qcbm_heavyhex6_8lay,training_qcbm_heavyhex6_8lay.npz,8,shots_noise,Finite shots + backend noise model,0.06503073862180152,20.3166923082716,1.0,0.17425150825159935,-14.911987646275751,0.0005989540195489465,108.57384122870421,0.06443178460225257
training_qcbm_heavyhex6_10lay,training_qcbm_heavyhex6_10lay.npz,10,shots_ideal,Finite shots (noiseless),-0.0014589364000940374,91.10798034331938,1.0,0.3948301299819515,0.7571204635987463,0.00010687985912399069,-13.650246286360968,-0.0015658162592180282
training_qcbm_heavyhex6_10lay,training_qcbm_heavyhex6_10lay.npz,10,shots_noise,Finite shots + backend noise model,0.06321724464960825,22.877749050518247,1.0,0.09391080886752193,0.6862698498465775,0.00010687985912399069,591.47949078292,0.06311036479048426
