active_physical_qubits,amplification_factor,decomposed_2q,decomposed_depth,grover_power,isa_2q,isa_depth,isa_size,isa_swap_count,logical_2q,logical_depth,p_ideal,within_2q_limit,within_depth_limit
"[71, 72, 73, 74, 75, 79, 92, 93, 94]",1,124,213,0,117,322,616,0,59,64,0.13287309429489258,True,True
"[71, 72, 73, 74, 75, 79, 92, 93, 94]",3,702,1226,1,1122,2691,5008,0,637,1077,0.8096661708552149,True,True
"[71, 72, 73, 74, 75, 79, 92, 93, 94]",5,1280,2239,2,2093,5082,9297,0,1215,2090,0.9155941944246487,True,True
"[71, 72, 73, 74, 75, 79, 92, 93, 94]",7,1858,3252,3,3101,7611,13751,0,1793,3103,0.2553804041571792,True,True
"[71, 72, 73, 74, 75, 79, 92, 93, 94]",9,2436,4265,4,4091,9815,18123,0,2371,4116,0.046119258015454856,True,True
