K,backend,c_mean,calib_id,calib_uuid,denom,job_id,k,log_c_mean,log_c_se,n_repeats,objective_ry_offset,p_ideal,p_noisy_mean,p_noisy_se,p_noisy_std,shots_per_rep,used_in_fit
1,ibm_basquecountry,0.33536182885778426,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.13977440473667657,d7ism9tpv4fs739rm7qg,0,-1.0925452438878043,0.1652719420071502,6,-0.1,0.36022559526332343,0.453125,0.007747122281585165,0.018976496564829873,256,True
3,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.37563111241500224,d7ism9tpv4fs739rm7qg,1,-13.815510557964274,43743.843995695475,6,-0.1,0.8756311124150022,0.4928385416666667,0.01643154878141141,0.040248910198108674,256,True
5,ibm_basquecountry,0.04611997005165235,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.4940692352534808,d7ism9tpv4fs739rm7qg,2,-3.0765092329385504,0.3894527819746001,6,-0.1,0.00593076474651921,0.4772135416666667,0.00887424958926497,0.02173738334380237,256,True
7,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.4580661829629704,d7ism9tpv4fs739rm7qg,3,-13.815510557964274,41290.65543011931,6,-0.1,0.9580661829629704,0.4830729166666667,0.018913852924914,0.04632928873608645,256,True
9,ibm_basquecountry,0.09338075773985628,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.27887615496989826,d7ism9tpv4fs739rm7qg,4,-2.371069974888244,0.41291645644125125,6,-0.1,0.22112384503010174,0.4739583333333333,0.01075303271982426,0.026339443351021424,256,True
13,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.2577629647222336,d7ism9tpv4fs739rm7qg,6,-13.815510557964274,37869.22519224568,6,-0.1,0.7577629647222336,0.4700520833333333,0.009761283757287142,0.023910164439870894,256,True
17,ibm_basquecountry,0.02094677599034902,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.49729212130143496,d7ism9tpv4fs739rm7qg,8,-3.8657705351318397,1.0940178243520573,6,-0.1,0.997292121301435,0.5104166666666666,0.011396019003667223,0.02791443165804503,256,True
