K,backend,c_est,calib_id,calib_uuid,denom,job_id,k,objective_ry_offset,p_ideal,p_noisy,pub_index,rep,shots
9,ibm_basquecountry,0.21010670491467648,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.27887615496989826,d7ism9tpv4fs739rm7qg,4,-0.1,0.22112384503010174,0.44140625,25,2,256
9,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.27887615496989826,d7ism9tpv4fs739rm7qg,4,-0.1,0.22112384503010174,0.50390625,26,3,256
9,ibm_basquecountry,0.04202134098293529,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.27887615496989826,d7ism9tpv4fs739rm7qg,4,-0.1,0.22112384503010174,0.48828125,27,4,256
9,ibm_basquecountry,0.04202134098293529,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.27887615496989826,d7ism9tpv4fs739rm7qg,4,-0.1,0.22112384503010174,0.48828125,28,5,256
9,ibm_basquecountry,0.07003556830489216,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,-0.27887615496989826,d7ism9tpv4fs739rm7qg,4,-0.1,0.22112384503010174,0.48046875,29,6,256
13,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.2577629647222336,d7ism9tpv4fs739rm7qg,6,-0.1,0.7577629647222336,0.44921875,30,1,256
13,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.2577629647222336,d7ism9tpv4fs739rm7qg,6,-0.1,0.7577629647222336,0.484375,31,2,256
13,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.2577629647222336,d7ism9tpv4fs739rm7qg,6,-0.1,0.7577629647222336,0.47265625,32,3,256
13,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.2577629647222336,d7ism9tpv4fs739rm7qg,6,-0.1,0.7577629647222336,0.49609375,33,4,256
13,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.2577629647222336,d7ism9tpv4fs739rm7qg,6,-0.1,0.7577629647222336,0.43359375,34,5,256
13,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.2577629647222336,d7ism9tpv4fs739rm7qg,6,-0.1,0.7577629647222336,0.484375,35,6,256
17,ibm_basquecountry,0.02356512298914273,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.49729212130143496,d7ism9tpv4fs739rm7qg,8,-0.1,0.997292121301435,0.51171875,36,1,256
17,ibm_basquecountry,0.06284032797104729,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.49729212130143496,d7ism9tpv4fs739rm7qg,8,-0.1,0.997292121301435,0.53125,37,2,256
17,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.49729212130143496,d7ism9tpv4fs739rm7qg,8,-0.1,0.997292121301435,0.484375,38,3,256
17,ibm_basquecountry,0.09426049195657092,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.49729212130143496,d7ism9tpv4fs739rm7qg,8,-0.1,0.997292121301435,0.546875,39,4,256
17,ibm_basquecountry,0.03142016398552364,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.49729212130143496,d7ism9tpv4fs739rm7qg,8,-0.1,0.997292121301435,0.515625,40,5,256
17,ibm_basquecountry,1e-06,20260420_102444,155b9e08-7162-4ee5-a785-54358c9a40f4,0.49729212130143496,d7ism9tpv4fs739rm7qg,8,-0.1,0.997292121301435,0.47265625,41,6,256
